RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Cesar Almeida,Abdul Razak Alhassan,-260,215,True,1.3846,0.0,-475,-3,2.54,7.62,-3,-5,-12,0,-5,0,1,0,-1,-0.18,0.0,-0.84,0,2025-01-11,False,Middleweight,MALE,3,0,0,3,6,23,0,6,0,6,Orthodox,177.8,185.42,0,1,2,1,11,0,1,0,3,Orthodox,185.42,187.96,36,39,20,20
Chris Curtis,Roman Kopylov,198,-240,False,0.0,1.4167,438,5,0.0,-5.08,1,0,7,0,0,0,-1,1,0,0.93,0.0,-1.14,-5,2025-01-11,False,Middleweight,MALE,3,0,1,4,3,20,0,4,0,5,Southpaw,182.88,190.5,1,0,4,3,27,0,4,0,6,Orthodox,177.8,190.5,37,32,20,15
Christian Rodriguez,Austin Bashi,-1000,580,True,1.1,0.0,-1580,4,2.54,2.54,4,2,15,0,0,0,-1,1,3,2.1,-0.6,-6.06,0,2025-01-11,False,Featherweight,MALE,3,0,1,1,0,2,0,0,1,1,Orthodox,167.64,177.8,1,0,4,2,17,0,0,1,5,Orthodox,170.18,180.34,27,23,20,20
Punahele Soriano,Uros Medic,190,-230,True,2.9,0.0,420,1,2.54,-5.08,0,2,9,0,-2,0,0,0,1,-1.17,0.1,1.63,0,2025-01-11,False,Welterweight,MALE,3,0,1,2,2,11,0,5,0,5,Southpaw,185.42,180.34,0,1,3,4,20,0,3,0,5,Southpaw,180.34,182.88,32,31,20,20
Jose Johnson,Felipe Bunes,-162,136,False,0.0,2.36,-298,-6,5.08,12.7,2,2,11,0,0,1,0,0,1,-0.9,-0.7,-0.39,0,2025-01-11,False,Flyweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,170.18,175.26,1,0,1,3,13,0,0,1,2,Orthodox,182.88,180.34,29,35,20,20
Marco Tulio,Ihor Potieria,-500,385,True,1.2,0.0,-885,2,-2.54,-7.62,-1,-5,-9,0,-1,0,2,-2,1,2.25,0.3,0.69,0,2025-01-11,False,Middleweight,MALE,3,2,0,1,5,14,0,2,0,3,Southpaw,190.5,190.5,0,2,2,0,5,0,1,0,2,Orthodox,182.88,187.96,30,28,20,20
Thiago Moises,Trey Ogden,-162,136,True,1.6173,0.0,-298,-6,-5.08,-5.08,5,4,16,0,2,3,-2,1,1,-0.72,0.4,-0.58,-5,2025-01-11,False,Lightweight,MALE,3,0,2,2,2,18,0,0,0,3,Orthodox,180.34,182.88,1,0,3,6,34,0,2,3,8,Orthodox,175.26,177.8,29,35,20,15
Preston Parsons,Jacobe Smith,450,-600,False,0.0,1.1667,1050,1,-2.54,2.54,1,3,11,0,-1,0,-1,1,0,-3.35,1.6,-4.32,0,2025-01-11,False,Welterweight,MALE,3,0,1,1,0,2,0,1,0,1,Southpaw,177.8,182.88,1,0,1,3,13,0,0,0,2,Orthodox,180.34,180.34,29,28,20,20
Ernesta Kareckaite,Nicolle Caliari,-255,210,True,1.3922,0.0,-465,-2,22.86,15.24,0,1,5,0,0,-1,-1,1,0,3.82,-1.0,-2.13,0,2025-01-11,False,Women's Flyweight,FEMALE,3,0,1,1,0,1,0,0,1,1,Orthodox,160.02,157.48,1,0,1,1,6,0,0,0,1,Orthodox,175.26,180.34,26,28,20,20
Magomed Gadzhiyasulov,Bruno Lopes,-800,490,False,0.0,5.9,-1290,0,2.54,0.0,1,-1,3,0,-1,0,1,0,1,0.01,0.0,1.74,0,2025-01-11,False,Light Heavyweight,MALE,3,0,1,1,1,3,0,1,0,1,Orthodox,187.96,187.96,0,2,2,0,6,0,0,0,2,Orthodox,187.96,190.5,31,31,20,20
Fatima Kline,Viktoriia Dudakova,-800,560,True,1.125,0.0,-1360,-1,0.0,2.54,-3,0,-7,0,-1,0,0,0,-3,2.14,0.0,-0.71,0,2025-01-11,False,Women's Strawweight,FEMALE,3,1,0,3,1,10,0,1,0,3,Orthodox,165.1,170.18,1,0,0,1,3,0,0,0,0,Orthodox,167.64,170.18,24,25,20,20
Nurullo Aliev,Joe Solecki,-720,530,True,1.1389,0.0,-1250,-7,5.08,2.54,-4,-3,-16,0,1,-3,2,-2,-2,0.75,-1.1,0.06,0,2025-01-11,False,Lightweight,MALE,3,2,0,4,3,20,0,0,3,6,Orthodox,175.26,177.8,0,2,2,0,4,0,1,0,2,Orthodox,177.8,182.88,24,31,20,20
Islam Makhachev,Renato Moicano,-1450,770,True,1.069,0.0,-2220,-2,-5.08,-2.54,3,-4,2,4,1,1,10,0,10,-1.65,0.4,1.42,-10,2025-01-18,True,Lightweight,MALE,5,0,4,4,5,37,0,2,6,12,Orthodox,180.34,182.88,0,14,14,1,39,4,3,7,15,Southpaw,177.8,177.8,33,35,10,0
