"date","weightclass","fighter","rank"
"2025-04-08","Women's Bantamweight","Jacqueline Cavalcanti","12"
"2025-04-08","Women's Bantamweight","Nora Cornolle","13"
"2025-04-08","Women's Bantamweight","Chelsea Chandler","14"
"2025-04-08","Women's Bantamweight","Melissa Mullins","15"
"2025-04-08","Men's Pound-for-Pound","Islam Makhachev","1"
"2025-04-08","Men's Pound-for-Pound","Jon Jones","2"
"2025-04-08","Men's Pound-for-Pound","Ilia Topuria","3"
"2025-04-08","Men's Pound-for-Pound","Merab Dvalishvili","4"
"2025-04-08","Men's Pound-for-Pound","Dricus Du Plessis","5"
"2025-04-08","Men's Pound-for-Pound","Magomed Ankalaev","6"
"2025-04-08","Men's Pound-for-Pound","Belal Muhammad","7"
"2025-04-08","Men's Pound-for-Pound","Alex Pereira","8"
"2025-04-08","Men's Pound-for-Pound","Alexandre Pantoja","9"
"2025-04-08","Men's Pound-for-Pound","Tom Aspinall","10"
"2025-04-08","Men's Pound-for-Pound","Alexander Volkanovski","11"
"2025-04-08","Men's Pound-for-Pound","Max Holloway","12"
"2025-04-08","Men's Pound-for-Pound","Sean O'Malley","13"
"2025-04-08","Men's Pound-for-Pound","Charles Oliveira","14"
"2025-04-08","Men's Pound-for-Pound","Arman Tsarukyan","15"
"2025-04-08","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2025-04-08","Women's Pound-for-Pound","Zhang Weili","2"
"2025-04-08","Women's Pound-for-Pound","Alexa Grasso","3"
"2025-04-08","Women's Pound-for-Pound","Julianna Pena","4"
"2025-04-08","Women's Pound-for-Pound","Manon Fiorot","5"
"2025-04-08","Women's Pound-for-Pound","Erin Blanchfield","6"
"2025-04-08","Women's Pound-for-Pound","Kayla Harrison","7"
"2025-04-08","Women's Pound-for-Pound","Raquel Pennington","8"
"2025-04-08","Women's Pound-for-Pound","Rose Namajunas","9"
"2025-04-08","Women's Pound-for-Pound","Yan Xiaonan","10"
"2025-04-08","Women's Pound-for-Pound","Tatiana Suarez","11"
"2025-04-08","Women's Pound-for-Pound","Virna Jandiroba","12"
"2025-04-08","Women's Pound-for-Pound","Natalia Silva","13"
"2025-04-08","Women's Pound-for-Pound","Jessica Andrade","14"
"2025-04-08","Women's Pound-for-Pound","Maycee Barber","15"
"2025-04-15","Flyweight","Alexandre Pantoja","0"
"2025-04-15","Flyweight","Brandon Royval","1"
"2025-04-15","Flyweight","Brandon Moreno","2"
"2025-04-15","Flyweight","Amir Albazi","3"
"2025-04-15","Flyweight","Kai Kara-France","4"
"2025-04-15","Flyweight","Tatsuro Taira","5"
"2025-04-15","Flyweight","Manel Kape","6"
"2025-04-15","Flyweight","Alex Perez","7"
"2025-04-15","Flyweight","Asu Almabayev","8"
"2025-04-15","Flyweight","Steve Erceg","9"
"2025-04-15","Flyweight","Tagir Ulanbekov","10"
"2025-04-15","Flyweight","Tim Elliott","11"
"2025-04-15","Flyweight","Bruno Gustavo da Silva","12"
"2025-04-15","Flyweight","Ramazan Temirov","13"
"2025-04-15","Flyweight","Joshua Van","14"
"2025-04-15","Flyweight","Kai Asakura","15"
"2025-04-15","Bantamweight","Merab Dvalishvili","0"
"2025-04-15","Bantamweight","Sean O'Malley","1"
"2025-04-15","Bantamweight","Petr Yan","2"
"2025-04-15","Bantamweight","Umar Nurmagomedov","3"
"2025-04-15","Bantamweight","Cory Sandhagen","4"
"2025-04-15","Bantamweight","Deiveson Figueiredo","5"
"2025-04-15","Bantamweight","Song Yadong","6"
"2025-04-15","Bantamweight","Marlon Vera","7"
"2025-04-15","Bantamweight","Rob Font","8"
"2025-04-15","Bantamweight","Henry Cejudo","9"
"2025-04-15","Bantamweight","Mario Bautista","10"
"2025-04-15","Bantamweight","Jose Aldo","11"
"2025-04-15","Bantamweight","Kyler Phillips","12"
"2025-04-15","Bantamweight","Marcus McGhee","13"
"2025-04-15","Bantamweight","Aiemann Zahabi","14"
"2025-04-15","Bantamweight","Montel Jackson","15"
"2025-04-15","Featherweight","Alexander Volkanovski","0"
"2025-04-15","Featherweight","Max Holloway","1"
"2025-04-15","Featherweight","Diego Lopes","2"
"2025-04-15","Featherweight","Ilia Topuria","3"
"2025-04-15","Featherweight","Yair Rodriguez","4"
"2025-04-15","Featherweight","Movsar Evloev","4"
"2025-04-15","Featherweight","Arnold Allen","6"
"2025-04-15","Featherweight","Brian Ortega","7"
"2025-04-15","Featherweight","Lerone Murphy","8"
"2025-04-15","Featherweight","Aljamain Sterling","9"
"2025-04-15","Featherweight","Josh Emmett","10"
"2025-04-15","Featherweight","Jean Silva","11"
"2025-04-15","Featherweight","Giga Chikadze","12"
"2025-04-15","Featherweight","Youssef Zalal","13"
"2025-04-15","Featherweight","Dan Ige","14"
"2025-04-15","Featherweight","Calvin Kattar","15"
"2025-04-15","Lightweight","Islam Makhachev","0"
"2025-04-15","Lightweight","Arman Tsarukyan","1"
"2025-04-15","Lightweight","Charles Oliveira","2"
"2025-04-15","Lightweight","Justin Gaethje","3"
"2025-04-15","Lightweight","Max Holloway","4"
"2025-04-15","Lightweight","Dustin Poirier","5"
"2025-04-15","Lightweight","Dan Hooker","6"
"2025-04-15","Lightweight","Mateusz Gamrot","7"
"2025-04-15","Lightweight","Paddy Pimblett","8"
"2025-04-15","Lightweight","Beneil Dariush","9"
"2025-04-15","Lightweight","Renato Moicano","10"
"2025-04-15","Lightweight","Rafael Fiziev","11"
"2025-04-15","Lightweight","Michael Chandler","12"
"2025-04-15","Lightweight","Benoit Saint Denis","13"
"2025-04-15","Lightweight","Grant Dawson","14"
"2025-04-15","Lightweight","Joel Alvarez","15"
"2025-04-15","Welterweight","Belal Muhammad","0"
"2025-04-15","Welterweight","Sean Brady","1"
"2025-04-15","Welterweight","Shavkat Rakhmonov","2"
"2025-04-15","Welterweight","Leon Edwards","3"
"2025-04-15","Welterweight","Kamaru Usman","4"
"2025-04-15","Welterweight","Jack Della Maddalena","5"
"2025-04-15","Welterweight","Joaquin Buckley","6"
"2025-04-15","Welterweight","Ian Machado Garry","7"
"2025-04-15","Welterweight","Gilbert Burns","8"
"2025-04-15","Welterweight","Colby Covington","9"
"2025-04-15","Welterweight","Geoff Neal","10"
"2025-04-15","Welterweight","Stephen Thompson","11"
"2025-04-15","Welterweight","Michael Morales","12"
"2025-04-15","Welterweight","Carlos Prates","13"
"2025-04-15","Welterweight","Vicente Luque","14"
"2025-04-15","Welterweight","Michael Page","15"
"2025-04-15","Middleweight","Dricus Du Plessis","0"
"2025-04-15","Middleweight","Nassourdine Imavov","1"
"2025-04-15","Middleweight","Sean Strickland","2"
"2025-04-15","Middleweight","Khamzat Chimaev","3"
"2025-04-15","Middleweight","Israel Adesanya","4"
"2025-04-15","Middleweight","Robert Whittaker","5"
"2025-04-15","Middleweight","Caio Borralho","6"
"2025-04-15","Middleweight","Jared Cannonier","7"
"2025-04-15","Middleweight","Roman Dolidze","8"
"2025-04-15","Middleweight","Anthony Hernandez","9"
"2025-04-15","Middleweight","Marvin Vettori","10"
"2025-04-15","Middleweight","Brendan Allen","11"
"2025-04-15","Middleweight","Paulo Costa","12"
"2025-04-15","Middleweight","Reinier de Ridder","13"
"2025-04-15","Middleweight","Michel Pereira","14"
"2025-04-15","Middleweight","Roman Kopylov","15"
"2025-04-15","Light Heavyweight","Magomed Ankalaev","0"
"2025-04-15","Light Heavyweight","Alex Pereira","1"
"2025-04-15","Light Heavyweight","Jiri Prochazka","2"
"2025-04-15","Light Heavyweight","Carlos Ulberg","3"
"2025-04-15","Light Heavyweight","Jamahal Hill","4"
"2025-04-15","Light Heavyweight","Jan Blachowicz","5"
"2025-04-15","Light Heavyweight","Aleksandar Rakic","6"
"2025-04-15","Light Heavyweight","Khalil Rountree Jr.","7"
"2025-04-15","Light Heavyweight","Dominick Reyes","8"
"2025-04-15","Light Heavyweight","Volkan Oezdemir","9"
"2025-04-15","Light Heavyweight","Nikita Krylov","10"
"2025-04-15","Light Heavyweight","Johnny Walker","11"
"2025-04-15","Light Heavyweight","Azamat Murzakanov","12"
"2025-04-15","Light Heavyweight","Bogdan Guskov","13"
"2025-04-15","Light Heavyweight","Alonzo Menifield","14"
"2025-04-15","Light Heavyweight","Anthony Smith","15"
"2025-04-15","Heavyweight","Jon Jones","0"
"2025-04-15","Heavyweight","Tom Aspinall","1"
"2025-04-15","Heavyweight","Ciryl Gane","2"
"2025-04-15","Heavyweight","Alexander Volkov","3"
"2025-04-15","Heavyweight","Sergei Pavlovich","4"
"2025-04-15","Heavyweight","Curtis Blaydes","5"
"2025-04-15","Heavyweight","Jailton Almeida","6"
"2025-04-15","Heavyweight","Serghei Spivac","7"
"2025-04-15","Heavyweight","Marcin Tybura","8"
"2025-04-15","Heavyweight","Derrick Lewis","9"
"2025-04-15","Heavyweight","Tai Tuivasa","10"
"2025-04-15","Heavyweight","Waldo Cortes-Acosta","11"
"2025-04-15","Heavyweight","Shamil Gaziev","12"
"2025-04-15","Heavyweight","Mick Parkin","13"
"2025-04-15","Heavyweight","Tallison Teixeira","14"
"2025-04-15","Heavyweight","Kennedy Nzechukwu","15"
"2025-04-15","Women's Strawweight","Zhang Weili","0"
"2025-04-15","Women's Strawweight","Virna Jandiroba","1"
"2025-04-15","Women's Strawweight","Tatiana Suarez","2"
"2025-04-15","Women's Strawweight","Yan Xiaonan","3"
"2025-04-15","Women's Strawweight","Jessica Andrade","4"
"2025-04-15","Women's Strawweight","Amanda Lemos","4"
"2025-04-15","Women's Strawweight","Mackenzie Dern","6"
"2025-04-15","Women's Strawweight","Amanda Ribas","7"
"2025-04-15","Women's Strawweight","Iasmin Lucindo","8"
"2025-04-15","Women's Strawweight","Marina Rodriguez","9"
"2025-04-15","Women's Strawweight","Tabatha Ricci","10"
"2025-04-15","Women's Strawweight","Loopy Godinez","11"
"2025-04-15","Women's Strawweight","Gillian Robertson","12"
"2025-04-15","Women's Strawweight","Angela Hill","13"
"2025-04-15","Women's Strawweight","Luana Pinheiro","14"
"2025-04-15","Women's Strawweight","Tecia Pennington","15"
"2025-04-15","Women's Flyweight","Valentina Shevchenko","0"
"2025-04-15","Women's Flyweight","Alexa Grasso","1"
"2025-04-15","Women's Flyweight","Manon Fiorot","2"
"2025-04-15","Women's Flyweight","Erin Blanchfield","3"
"2025-04-15","Women's Flyweight","Maycee Barber","4"
"2025-04-15","Women's Flyweight","Natalia Silva","5"
"2025-04-15","Women's Flyweight","Rose Namajunas","6"
"2025-04-15","Women's Flyweight","Jessica Andrade","7"
"2025-04-15","Women's Flyweight","Viviane Araujo","8"
"2025-04-15","Women's Flyweight","Jasmine Jasudavicius","9"
"2025-04-15","Women's Flyweight","Tracy Cortez","10"
"2025-04-15","Women's Flyweight","Karine Silva","11"
"2025-04-15","Women's Flyweight","Miranda Maverick","12"
"2025-04-15","Women's Flyweight","Casey O'Neill","13"
"2025-04-15","Women's Flyweight","Ariane da Silva","14"
"2025-04-15","Women's Flyweight","JJ Aldrich","15"
"2025-04-15","Women's Bantamweight","Julianna Pena","0"
"2025-04-15","Women's Bantamweight","Raquel Pennington","1"
"2025-04-15","Women's Bantamweight","Kayla Harrison","2"
"2025-04-15","Women's Bantamweight","Ketlen Vieira","3"
"2025-04-15","Women's Bantamweight","Norma Dumont","4"
"2025-04-15","Women's Bantamweight","Macy Chiasson","5"
"2025-04-15","Women's Bantamweight","Irene Aldana","6"
"2025-04-15","Women's Bantamweight","Mayra Bueno Silva","7"
"2025-04-15","Women's Bantamweight","Ailin Perez","8"
"2025-04-15","Women's Bantamweight","Karol Rosa","9"
"2025-04-15","Women's Bantamweight","Yana Santos","10"
"2025-04-15","Women's Bantamweight","Miesha Tate","11"
"2025-04-15","Women's Bantamweight","Jacqueline Cavalcanti","12"
"2025-04-15","Women's Bantamweight","Nora Cornolle","13"
"2025-04-15","Women's Bantamweight","Chelsea Chandler","14"
"2025-04-15","Women's Bantamweight","Melissa Mullins","15"
"2025-04-15","Men's Pound-for-Pound","Islam Makhachev","1"
"2025-04-15","Men's Pound-for-Pound","Jon Jones","2"
"2025-04-15","Men's Pound-for-Pound","Ilia Topuria","3"
"2025-04-15","Men's Pound-for-Pound","Merab Dvalishvili","4"
"2025-04-15","Men's Pound-for-Pound","Dricus Du Plessis","5"
"2025-04-15","Men's Pound-for-Pound","Magomed Ankalaev","6"
"2025-04-15","Men's Pound-for-Pound","Belal Muhammad","7"
"2025-04-15","Men's Pound-for-Pound","Alex Pereira","8"
"2025-04-15","Men's Pound-for-Pound","Alexander Volkanovski","9"
"2025-04-15","Men's Pound-for-Pound","Alexandre Pantoja","10"
"2025-04-15","Men's Pound-for-Pound","Tom Aspinall","11"
"2025-04-15","Men's Pound-for-Pound","Max Holloway","12"
"2025-04-15","Men's Pound-for-Pound","Sean O'Malley","13"
"2025-04-15","Men's Pound-for-Pound","Charles Oliveira","14"
"2025-04-15","Men's Pound-for-Pound","Arman Tsarukyan","15"
"2025-04-15","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2025-04-15","Women's Pound-for-Pound","Zhang Weili","2"
"2025-04-15","Women's Pound-for-Pound","Alexa Grasso","3"
"2025-04-15","Women's Pound-for-Pound","Julianna Pena","4"
"2025-04-15","Women's Pound-for-Pound","Manon Fiorot","5"
"2025-04-15","Women's Pound-for-Pound","Erin Blanchfield","6"
"2025-04-15","Women's Pound-for-Pound","Kayla Harrison","7"
"2025-04-15","Women's Pound-for-Pound","Virna Jandiroba","8"
"2025-04-15","Women's Pound-for-Pound","Raquel Pennington","9"
"2025-04-15","Women's Pound-for-Pound","Rose Namajunas","10"
"2025-04-15","Women's Pound-for-Pound","Tatiana Suarez","11"
"2025-04-15","Women's Pound-for-Pound","Yan Xiaonan","12"
"2025-04-15","Women's Pound-for-Pound","Natalia Silva","13"
"2025-04-15","Women's Pound-for-Pound","Jessica Andrade","14"
"2025-04-15","Women's Pound-for-Pound","Maycee Barber","15"
"2025-04-29","Flyweight","Alexandre Pantoja","0"
"2025-04-29","Flyweight","Brandon Royval","1"
"2025-04-29","Flyweight","Brandon Moreno","2"
"2025-04-29","Flyweight","Amir Albazi","3"
"2025-04-29","Flyweight","Kai Kara-France","4"
"2025-04-29","Flyweight","Tatsuro Taira","5"
"2025-04-29","Flyweight","Manel Kape","6"
"2025-04-29","Flyweight","Alex Perez","7"
"2025-04-29","Flyweight","Asu Almabayev","8"
"2025-04-29","Flyweight","Steve Erceg","9"
"2025-04-29","Flyweight","Tagir Ulanbekov","10"
"2025-04-29","Flyweight","Tim Elliott","11"
"2025-04-29","Flyweight","Bruno Gustavo da Silva","12"
"2025-04-29","Flyweight","Ramazan Temirov","13"
"2025-04-29","Flyweight","Joshua Van","14"
"2025-04-29","Flyweight","Kai Asakura","15"
"2025-04-29","Bantamweight","Merab Dvalishvili","0"
"2025-04-29","Bantamweight","Sean O'Malley","1"
"2025-04-29","Bantamweight","Petr Yan","2"
"2025-04-29","Bantamweight","Umar Nurmagomedov","3"
"2025-04-29","Bantamweight","Cory Sandhagen","4"
"2025-04-29","Bantamweight","Deiveson Figueiredo","5"
"2025-04-29","Bantamweight","Song Yadong","6"
"2025-04-29","Bantamweight","Marlon Vera","7"
"2025-04-29","Bantamweight","Rob Font","8"
"2025-04-29","Bantamweight","Henry Cejudo","9"
"2025-04-29","Bantamweight","Mario Bautista","10"
"2025-04-29","Bantamweight","Jose Aldo","11"
"2025-04-29","Bantamweight","Kyler Phillips","12"
"2025-04-29","Bantamweight","Marcus McGhee","13"
"2025-04-29","Bantamweight","Aiemann Zahabi","14"
"2025-04-29","Bantamweight","Montel Jackson","15"
"2025-04-29","Featherweight","Alexander Volkanovski","0"
"2025-04-29","Featherweight","Max Holloway","1"
"2025-04-29","Featherweight","Diego Lopes","2"
"2025-04-29","Featherweight","Ilia Topuria","3"
"2025-04-29","Featherweight","Yair Rodriguez","4"
"2025-04-29","Featherweight","Movsar Evloev","4"
"2025-04-29","Featherweight","Arnold Allen","6"
"2025-04-29","Featherweight","Brian Ortega","7"
"2025-04-29","Featherweight","Lerone Murphy","8"
"2025-04-29","Featherweight","Aljamain Sterling","9"
"2025-04-29","Featherweight","Josh Emmett","10"
"2025-04-29","Featherweight","Jean Silva","11"
"2025-04-29","Featherweight","Youssef Zalal","12"
"2025-04-29","Featherweight","Dan Ige","13"
"2025-04-29","Featherweight","David Onama","14"
"2025-04-29","Featherweight","Calvin Kattar","15"
"2025-04-29","Lightweight","Islam Makhachev","0"
"2025-04-29","Lightweight","Arman Tsarukyan","1"
"2025-04-29","Lightweight","Charles Oliveira","2"
"2025-04-29","Lightweight","Justin Gaethje","3"
"2025-04-29","Lightweight","Max Holloway","4"
"2025-04-29","Lightweight","Dustin Poirier","5"
"2025-04-29","Lightweight","Dan Hooker","6"
"2025-04-29","Lightweight","Mateusz Gamrot","7"
"2025-04-29","Lightweight","Paddy Pimblett","8"
"2025-04-29","Lightweight","Beneil Dariush","9"
"2025-04-29","Lightweight","Renato Moicano","10"
"2025-04-29","Lightweight","Rafael Fiziev","11"
"2025-04-29","Lightweight","Michael Chandler","12"
"2025-04-29","Lightweight","Benoit Saint Denis","13"
"2025-04-29","Lightweight","Grant Dawson","14"
"2025-04-29","Lightweight","Joel Alvarez","15"
"2025-04-29","Welterweight","Belal Muhammad","0"
"2025-04-29","Welterweight","Sean Brady","1"
"2025-04-29","Welterweight","Shavkat Rakhmonov","2"
"2025-04-29","Welterweight","Leon Edwards","3"
"2025-04-29","Welterweight","Kamaru Usman","4"
"2025-04-29","Welterweight","Jack Della Maddalena","5"
"2025-04-29","Welterweight","Ian Machado Garry","6"
"2025-04-29","Welterweight","Joaquin Buckley","7"
"2025-04-29","Welterweight","Gilbert Burns","8"
"2025-04-29","Welterweight","Colby Covington","9"
"2025-04-29","Welterweight","Geoff Neal","10"
"2025-04-29","Welterweight","Stephen Thompson","11"
"2025-04-29","Welterweight","Michael Morales","12"
"2025-04-29","Welterweight","Carlos Prates","13"
"2025-04-29","Welterweight","Vicente Luque","14"
"2025-04-29","Welterweight","Michael Page","15"
"2025-04-29","Middleweight","Dricus Du Plessis","0"
"2025-04-29","Middleweight","Nassourdine Imavov","1"
"2025-04-29","Middleweight","Sean Strickland","2"
"2025-04-29","Middleweight","Khamzat Chimaev","3"
"2025-04-29","Middleweight","Israel Adesanya","4"
"2025-04-29","Middleweight","Robert Whittaker","5"
"2025-04-29","Middleweight","Caio Borralho","6"
"2025-04-29","Middleweight","Jared Cannonier","7"
"2025-04-29","Middleweight","Roman Dolidze","8"
"2025-04-29","Middleweight","Anthony Hernandez","9"
"2025-04-29","Middleweight","Marvin Vettori","10"
"2025-04-29","Middleweight","Brendan Allen","11"
"2025-04-29","Middleweight","Paulo Costa","12"
"2025-04-29","Middleweight","Reinier de Ridder","13"
"2025-04-29","Middleweight","Roman Kopylov","14"
"2025-04-29","Middleweight","Abus Magomedov","15"
"2025-04-29","Light Heavyweight","Magomed Ankalaev","0"
"2025-04-29","Light Heavyweight","Alex Pereira","1"
"2025-04-29","Light Heavyweight","Jiri Prochazka","2"
"2025-04-29","Light Heavyweight","Carlos Ulberg","3"
"2025-04-29","Light Heavyweight","Jamahal Hill","4"
"2025-04-29","Light Heavyweight","Jan Blachowicz","5"
"2025-04-29","Light Heavyweight","Aleksandar Rakic","6"
"2025-04-29","Light Heavyweight","Khalil Rountree Jr.","7"
"2025-04-29","Light Heavyweight","Dominick Reyes","8"
"2025-04-29","Light Heavyweight","Volkan Oezdemir","9"
"2025-04-29","Light Heavyweight","Nikita Krylov","10"
"2025-04-29","Light Heavyweight","Johnny Walker","11"
"2025-04-29","Light Heavyweight","Azamat Murzakanov","12"
"2025-04-29","Light Heavyweight","Bogdan Guskov","13"
"2025-04-29","Light Heavyweight","Zhang Mingyang","14"
"2025-04-29","Light Heavyweight","Alonzo Menifield","15"
"2025-04-29","Heavyweight","Jon Jones","0"
"2025-04-29","Heavyweight","Tom Aspinall","1"
"2025-04-29","Heavyweight","Ciryl Gane","2"
"2025-04-29","Heavyweight","Alexander Volkov","3"
"2025-04-29","Heavyweight","Sergei Pavlovich","4"
"2025-04-29","Heavyweight","Curtis Blaydes","5"
"2025-04-29","Heavyweight","Jailton Almeida","6"
"2025-04-29","Heavyweight","Serghei Spivac","7"
"2025-04-29","Heavyweight","Marcin Tybura","8"
"2025-04-29","Heavyweight","Derrick Lewis","9"
"2025-04-29","Heavyweight","Tai Tuivasa","10"
"2025-04-29","Heavyweight","Waldo Cortes-Acosta","11"
"2025-04-29","Heavyweight","Shamil Gaziev","12"
"2025-04-29","Heavyweight","Mick Parkin","13"
"2025-04-29","Heavyweight","Tallison Teixeira","14"
"2025-04-29","Heavyweight","Kennedy Nzechukwu","15"
"2025-04-29","Women's Strawweight","Zhang Weili","0"
"2025-04-29","Women's Strawweight","Virna Jandiroba","1"
"2025-04-29","Women's Strawweight","Tatiana Suarez","2"
"2025-04-29","Women's Strawweight","Yan Xiaonan","3"
"2025-04-29","Women's Strawweight","Amanda Lemos","4"
"2025-04-29","Women's Strawweight","Jessica Andrade","4"
"2025-04-29","Women's Strawweight","Mackenzie Dern","6"
"2025-04-29","Women's Strawweight","Amanda Ribas","7"
"2025-04-29","Women's Strawweight","Iasmin Lucindo","8"
"2025-04-29","Women's Strawweight","Marina Rodriguez","9"
"2025-04-29","Women's Strawweight","Tabatha Ricci","10"
"2025-04-29","Women's Strawweight","Loopy Godinez","11"
"2025-04-29","Women's Strawweight","Gillian Robertson","12"
"2025-04-29","Women's Strawweight","Angela Hill","13"
"2025-04-29","Women's Strawweight","Tecia Pennington","14"
"2025-04-29","Women's Strawweight","Luana Pinheiro","15"
"2025-04-29","Women's Flyweight","Valentina Shevchenko","0"
"2025-04-29","Women's Flyweight","Alexa Grasso","1"
"2025-04-29","Women's Flyweight","Manon Fiorot","2"
"2025-04-29","Women's Flyweight","Erin Blanchfield","3"
"2025-04-29","Women's Flyweight","Maycee Barber","4"
"2025-04-29","Women's Flyweight","Natalia Silva","5"
"2025-04-29","Women's Flyweight","Rose Namajunas","6"
"2025-04-29","Women's Flyweight","Jessica Andrade","7"
"2025-04-29","Women's Flyweight","Viviane Araujo","8"
"2025-04-29","Women's Flyweight","Jasmine Jasudavicius","9"
"2025-04-29","Women's Flyweight","Tracy Cortez","10"
"2025-04-29","Women's Flyweight","Karine Silva","11"
"2025-04-29","Women's Flyweight","Miranda Maverick","12"
"2025-04-29","Women's Flyweight","Casey O'Neill","13"
"2025-04-29","Women's Flyweight","Ariane da Silva","14"
"2025-04-29","Women's Flyweight","JJ Aldrich","15"
"2025-04-29","Women's Bantamweight","Julianna Pena","0"
"2025-04-29","Women's Bantamweight","Raquel Pennington","1"
"2025-04-29","Women's Bantamweight","Kayla Harrison","2"
"2025-04-29","Women's Bantamweight","Ketlen Vieira","3"
"2025-04-29","Women's Bantamweight","Norma Dumont","4"
"2025-04-29","Women's Bantamweight","Macy Chiasson","5"
"2025-04-29","Women's Bantamweight","Irene Aldana","6"
"2025-04-29","Women's Bantamweight","Mayra Bueno Silva","7"
"2025-04-29","Women's Bantamweight","Ailin Perez","8"
"2025-04-29","Women's Bantamweight","Karol Rosa","9"
"2025-04-29","Women's Bantamweight","Yana Santos","10"
"2025-04-29","Women's Bantamweight","Jacqueline Cavalcanti","11"
"2025-04-29","Women's Bantamweight","Miesha Tate","12"
"2025-04-29","Women's Bantamweight","Nora Cornolle","13"
"2025-04-29","Women's Bantamweight","Joselyne Edwards","14"
"2025-04-29","Women's Bantamweight","Chelsea Chandler","15"
"2025-04-29","Men's Pound-for-Pound","Islam Makhachev","1"
"2025-04-29","Men's Pound-for-Pound","Jon Jones","2"
"2025-04-29","Men's Pound-for-Pound","Ilia Topuria","3"
"2025-04-29","Men's Pound-for-Pound","Merab Dvalishvili","4"
"2025-04-29","Men's Pound-for-Pound","Dricus Du Plessis","5"
"2025-04-29","Men's Pound-for-Pound","Magomed Ankalaev","6"
"2025-04-29","Men's Pound-for-Pound","Belal Muhammad","7"
"2025-04-29","Men's Pound-for-Pound","Alex Pereira","8"
"2025-04-29","Men's Pound-for-Pound","Alexander Volkanovski","9"
"2025-04-29","Men's Pound-for-Pound","Alexandre Pantoja","10"
"2025-04-29","Men's Pound-for-Pound","Tom Aspinall","11"
"2025-04-29","Men's Pound-for-Pound","Max Holloway","12"
"2025-04-29","Men's Pound-for-Pound","Sean O'Malley","13"
"2025-04-29","Men's Pound-for-Pound","Charles Oliveira","14"
"2025-04-29","Men's Pound-for-Pound","Arman Tsarukyan","15"
"2025-04-29","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2025-04-29","Women's Pound-for-Pound","Zhang Weili","2"
"2025-04-29","Women's Pound-for-Pound","Alexa Grasso","3"
"2025-04-29","Women's Pound-for-Pound","Julianna Pena","4"
"2025-04-29","Women's Pound-for-Pound","Manon Fiorot","5"
"2025-04-29","Women's Pound-for-Pound","Erin Blanchfield","6"
"2025-04-29","Women's Pound-for-Pound","Kayla Harrison","7"
"2025-04-29","Women's Pound-for-Pound","Virna Jandiroba","8"
"2025-04-29","Women's Pound-for-Pound","Raquel Pennington","9"
"2025-04-29","Women's Pound-for-Pound","Rose Namajunas","10"
"2025-04-29","Women's Pound-for-Pound","Tatiana Suarez","11"
"2025-04-29","Women's Pound-for-Pound","Yan Xiaonan","12"
"2025-04-29","Women's Pound-for-Pound","Natalia Silva","13"
"2025-04-29","Women's Pound-for-Pound","Jessica Andrade","14"
"2025-04-29","Women's Pound-for-Pound","Maycee Barber","15"
"2025-05-06","Flyweight","Alexandre Pantoja","0"
"2025-05-06","Flyweight","Brandon Royval","1"
"2025-05-06","Flyweight","Brandon Moreno","2"
"2025-05-06","Flyweight","Amir Albazi","3"
"2025-05-06","Flyweight","Kai Kara-France","4"
"2025-05-06","Flyweight","Tatsuro Taira","5"
"2025-05-06","Flyweight","Manel Kape","6"
"2025-05-06","Flyweight","Alex Perez","7"
"2025-05-06","Flyweight","Asu Almabayev","8"
"2025-05-06","Flyweight","Steve Erceg","9"
"2025-05-06","Flyweight","Tagir Ulanbekov","10"
"2025-05-06","Flyweight","Tim Elliott","11"
"2025-05-06","Flyweight","Bruno Gustavo da Silva","12"
"2025-05-06","Flyweight","Ramazan Temirov","13"
"2025-05-06","Flyweight","Joshua Van","14"
"2025-05-06","Flyweight","Kai Asakura","15"
"2025-05-06","Bantamweight","Merab Dvalishvili","0"
"2025-05-06","Bantamweight","Sean O'Malley","1"
"2025-05-06","Bantamweight","Petr Yan","2"
"2025-05-06","Bantamweight","Umar Nurmagomedov","3"
"2025-05-06","Bantamweight","Cory Sandhagen","4"
"2025-05-06","Bantamweight","Song Yadong","5"
"2025-05-06","Bantamweight","Deiveson Figueiredo","6"
"2025-05-06","Bantamweight","Marlon Vera","7"
"2025-05-06","Bantamweight","Rob Font","8"
"2025-05-06","Bantamweight","Henry Cejudo","9"
"2025-05-06","Bantamweight","Mario Bautista","10"
"2025-05-06","Bantamweight","Jose Aldo","11"
"2025-05-06","Bantamweight","Kyler Phillips","12"
"2025-05-06","Bantamweight","Marcus McGhee","13"
"2025-05-06","Bantamweight","Montel Jackson","14"
"2025-05-06","Bantamweight","Aiemann Zahabi","15"
"2025-05-06","Featherweight","Alexander Volkanovski","0"
"2025-05-06","Featherweight","Max Holloway","1"
"2025-05-06","Featherweight","Diego Lopes","2"
"2025-05-06","Featherweight","Ilia Topuria","3"
"2025-05-06","Featherweight","Movsar Evloev","4"
"2025-05-06","Featherweight","Yair Rodriguez","4"
"2025-05-06","Featherweight","Arnold Allen","6"
"2025-05-06","Featherweight","Brian Ortega","7"
"2025-05-06","Featherweight","Lerone Murphy","8"
"2025-05-06","Featherweight","Aljamain Sterling","9"
"2025-05-06","Featherweight","Josh Emmett","10"
"2025-05-06","Featherweight","Jean Silva","11"
