Date,RedFighter,BlueFighter,WeightClass,RedOdds,BlueOdds
2023-05-06,Aljamain Sterling,Henry Cejudo,Bantamweight,-120,100
2023-05-06,Belal Muhammad,Gilbert Burns,Welterweight,128,-152
2023-05-06,Jessica Andrade,Yan Xiaonan,Women's Strawweight,-180,152
2023-05-06,Movsar Evloev,Diego Lopes,Featherweight,-1000,660
2023-05-06,Kron Gracie,Charles Jourdain,Featherweight,142,-168
2023-05-06,Drew Dober,Matt Frevola,Lightweight,-225,188
2023-05-06,Kennedy Nzechukwu,Devin Clark,Light Heavyweight,-184,154
2023-05-06,Khaos Williams,Rolando Bedoya,Welterweight,-450,340
2023-05-06,Marina Rodriguez,Virna Jandiroba,Women's Strawweight,-120,102
2023-05-06,Braxton Smith,Parker Porter,Heavyweight,148,-176
2023-05-06,Phil Hawes,Ikram Aliskerov,Middleweight,160,-190
2023-05-06,Joseph Holmes,Claudio Ribeiro,Middleweight,136,-162
2023-04-29,Song Yadong,Ricky Simon,Bantamweight,122,-144
2023-04-29,Caio Borralho,Michal Oleksiejczuk,Middleweight,-390,310
2023-04-29,Rodolfo Vieira,Cody Brundage,Middleweight,-250,205
2023-04-29,Julian Erosa,Fernando Padilla,Featherweight,-158,134
2023-04-29,Marcos Rogerio de Lima,Waldo Cortes-Acosta,Heavyweight,-174,146
2023-04-29,Josh Quinlan,Trey Waters,Welterweight,-245,200
2023-04-29,Martin Buday,Jake Collier,Heavyweight,-144,122
2023-04-29,Cody Durden,Charles Johnson,Flyweight,122,-144
2023-04-29,Stephanie Egger,Irina Alekseeva,Women's Bantamweight,-350,280
2023-04-29,Journey Newson,Marcus McGhee,Catch Weight,110,138
2023-04-29,Hailey Cowan,Jamey-Lyn Horth,Women's Bantamweight,138,-164
2023-04-22,Sergei Pavlovich,Curtis Blaydes,Heavyweight,112,-132
2023-04-22,Brad Tavares,Bruno Silva,Middleweight,-162,136
2023-04-22,Iasmin Lucindo,Brogan Walker,Women's Flyweight,-375,300
2023-04-22,Jeremiah Wells,Matthew Semelsberger,Welterweight,-102,-116
2023-04-22,Ricky Glenn,Christos Giagos,Lightweight,-164,138
2023-04-22,Rani Yahya,Montel Jackson,Bantamweight,440,-590
2023-04-22,Karol Rosa,Norma Dumont,Women's Featherweight,-102,-116
2023-04-22,Mohammed Usman,Junior Tafa,Heavyweight,100,-118
2023-04-22,Francis Marshall,William Gomis,Featherweight,-196,164
2023-04-22,Brady Hiestand,Batgerel Danaa,Bantamweight,134,-158
2023-04-15,Max Holloway,Arnold Allen,Featherweight,-172,144
2023-04-15,Edson Barboza,Billy Quarantillo,Featherweight,146,-174
2023-04-15,Dustin Jacoby,Azamat Murzakanov,Light Heavyweight,-162,136
2023-04-15,Tanner Boser,Ion Cutelaba,Light Heavyweight,108,-130
2023-04-15,Pedro Munhoz,Chris Gutierrez,Bantamweight,176,-210
2023-04-15,Clay Guida,Rafa Garcia,Lightweight,235,-290
2023-04-15,Bill Algeo,TJ Brown,Featherweight,-200,168
2023-04-15,Brandon Royval,Matheus Nicolau,Flyweight,164,-196
2023-04-15,Zak Cummings,Ed Herman,Light Heavyweight,-220,184
2023-04-15,Gillian Robertson,Piera Rodriguez,Women's Strawweight,-126,108
2023-04-15,Lando Vannata,Daniel Zellhuber,Lightweight,108,-130
2023-04-15,Bruna Brasil,Denise Gomes,Women's Strawweight,-156,132
2023-04-15,Aaron Phillips,Gaston Bolanos,Bantamweight,160,-190
2023-04-15,Joselyne Edwards,Lucie Pudilova,Women's Bantamweight,114,-134
2023-04-08,Alex Pereira,Israel Adesanya,Middleweight,115,-135
2023-04-08,Gilbert Burns,Jorge Masvidal,Welterweight,-450,360
2023-04-08,Rob Font,Adrian Yanez,Bantamweight,176,-210
2023-04-08,Kevin Holland,Santiago Ponzinibbio,Welterweight,-260,215
2023-04-08,Raul Rosas Jr.,Christian Rodriguez,Bantamweight,-270,220
2023-04-08,Chris Curtis,Kelvin Gastelum,Middleweight,110,-130
2023-04-08,Michelle Waterson-Gomez,Luana Pinheiro,Women's Strawweight,132,-156
2023-04-08,Gerald Meerschaert,Joe Pyfer,Middleweight,172,-205
2023-04-08,Cynthia Calvillo,Loopy Godinez,Women's Strawweight,210,-255
2023-04-08,Ignacio Bahamondes,Trey Ogden,Catch Weight,-390,310
2023-04-08,Shayilan Nuerdanbieke,Steve Garcia,Featherweight,-172,144
2023-04-08,Jaqueline Amorim,Sam Hughes,Women's Strawweight,-270,220
2023-03-25,Marlon Vera,Cory Sandhagen,Bantamweight,116,-136
2023-03-25,Holly Holm,Yana Santos,Women's Bantamweight,-245,200
2023-03-25,Nate Landwehr,Austin Lingo,Featherweight,-215,180
2023-03-25,Andrea Lee,Maycee Barber,Women's Flyweight,220,-270
2023-03-25,Chidi Njokuani,Albert Duraev,Middleweight,-162,134
2023-03-25,Daniel Pineda,Tucker Lutz,Featherweight,250,-310
2023-03-25,Steven Peterson,Lucas Alexander,Featherweight,-164,138
2023-03-25,Trevin Giles,Preston Parsons,Welterweight,102,-120
2023-03-25,CJ Vergara,Daniel Lacerda,Flyweight,-275,225
2023-03-25,Victor Altamirano,Vinicius Salvador,Flyweight,-104,-112
2023-03-18,Leon Edwards,Kamaru Usman,Welterweight,205,-245
2023-03-18,Justin Gaethje,Rafael Fiziev,Lightweight,205,-250
2023-03-18,Gunnar Nelson,Bryan Barberena,Welterweight,-350,310
2023-03-18,Jennifer Maia,Casey O'Neill,Women's Flyweight,154,-184
2023-03-18,Marvin Vettori,Roman Dolidze,Middleweight,-250,205
2023-03-18,Jack Shore,Makwan Amirkhani,Featherweight,-560,420
2023-03-18,Chris Duncan,Omar Morales,Lightweight,-110,-106
2023-03-18,Sam Patterson,Yanal Ashmouz,Lightweight,-290,235
2023-03-18,Muhammad Mokaev,Jafel Filho,Flyweight,-850,590
2023-03-18,Lerone Murphy,Gabriel Santos,Featherweight,-180,152
2023-03-18,Christian Leroy Duncan,Dusko Todorovic,Middleweight,-110,205
2023-03-18,Jake Hadley,Malcolm Gordon,Flyweight,-530,360
2023-03-18,Joanne Wood,Luana Carolina,Women's Flyweight,-245,186
2023-03-18,Juliana Miller,Veronica Hardy,Women's Flyweight,-350,280
2023-03-11,Petr Yan,Merab Dvalishvili,Bantamweight,-255,210
2023-03-11,Alexander Volkov,Alexandr Romanov,Heavyweight,124,-146
2023-03-11,Nikita Krylov,Ryan Spann,Catch Weight,-168,142
2023-03-11,Said Nurmagomedov,Jonathan Martinez,Bantamweight,-240,198
2023-03-11,Mario Bautista,Guido Cannetti,Bantamweight,-1200,750
2023-03-11,Vitor Petrino,Anton Turkalj,Light Heavyweight,-120,102
2023-03-11,Karl Williams,Lukasz Brzeski,Heavyweight,-260,215
2023-03-11,Raphael Assuncao,Davey Grant,Bantamweight,116,-136
2023-03-11,Sedriques Dumas,Josh Fremd,Middleweight,-250,205
2023-03-11,Victor Henry,Tony Gravely,Bantamweight,-142,120
2023-03-11,Ariane da Silva,JJ Aldrich,Women's Flyweight,300,-375
2023-03-11,Tyson Nam,Bruno Silva,Flyweight,152,-180
2023-03-11,Carlston Harris,Jared Gooden,Welterweight,-300,245
2023-03-04,Jon Jones,Ciryl Gane,Heavyweight,-155,135
2023-03-04,Valentina Shevchenko,Alexa Grasso,Women's Flyweight,-600,450
2023-03-04,Geoff Neal,Shavkat Rakhmonov,Welterweight,400,-500
2023-03-04,Mateusz Gamrot,Jalin Turner,Lightweight,-188,158
2023-03-04,Bo Nickal,Jamie Pickett,Middleweight,-1400,850
2023-03-04,Cody Garbrandt,Trevin Jones,Bantamweight,-165,140
2023-03-04,Derek Brunson,Dricus Du Plessis,Middleweight,200,-240
2023-03-04,Viviane Araujo,Amanda Ribas,Women's Flyweight,110,-130
2023-03-04,Julian Marquez,Marc-Andre Barriault,Middleweight,105,-125
2023-03-04,Ian Machado Garry,Song Kenan,Welterweight,-900,610
2023-03-04,Mana Martinez,Cameron Saaiman,Bantamweight,210,-250
2023-03-04,Jessica Penne,Tabatha Ricci,Women's Strawweight,195,-230
2023-03-04,Da'Mon Blackshear,Farid Basharat,Bantamweight,330,-410
2023-03-04,Esteban Ribovics,Loik Radzhabov,Lightweight,168,-205
2023-02-25,Andre Muniz,Brendan Allen,Middleweight,-205,175
2023-02-25,Augusto Sakai,Don'Tale Mayes,Heavyweight,-135,115
2023-02-25,Tatiana Suarez,Montana De La Rosa,Women's Flyweight,-750,550
2023-02-25,Mike Malott,Yohan Lainesse,Welterweight,-215,185
2023-02-25,Erick Gonzalez,Trevor Peek,Lightweight,160,-190
2023-02-25,Jasmine Jasudavicius,Gabriella Fernandes,Women's Flyweight,105,-125
2023-02-25,Jordan Leavitt,Victor Martinez,Lightweight,-105,-115
2023-02-25,Ode Osbourne,Charles Johnson,Catch Weight,145,-170
2023-02-25,Joe Solecki,Carl Deaton,Lightweight,-520,410
2023-02-25,Rafael Alves,Nurullo Aliev,Lightweight,155,-180
2023-02-18,Jessica Andrade,Erin Blanchfield,Women's Flyweight,-120,100
2023-02-18,Jordan Wright,Zac Pauga,Light Heavyweight,245,-295
2023-02-18,Josh Parisian,Jamal Pogues,Heavyweight,245,-295
2023-02-18,William Knight,Marcin Prachnio,Light Heavyweight,-130,110
2023-02-18,Jim Miller,Alexander Hernandez,Lightweight,180,-210
2023-02-18,Nazim Sadykhov,Evan Elder,Lightweight,-250,210
2023-02-18,Lina Lansberg,Mayra Bueno Silva,Women's Bantamweight,390,-490
2023-02-18,Jamall Emmers,Khusein Askhabov,Featherweight,155,-180
2023-02-18,Ovince Saint Preux,Philipe Lins,Light Heavyweight,180,-210
2023-02-18,AJ Fletcher,Themba Gorimbo,Welterweight,-350,290
2023-02-18,Clayton Carpenter,Juancamilo Ronderos,Flyweight,-320,265
2023-02-11,Islam Makhachev,Alexander Volkanovski,Lightweight,-365,300
2023-02-11,Yair Rodriguez,Josh Emmett,Featherweight,-180,155
2023-02-11,Jack Della Maddalena,Randy Brown,Welterweight,-325,270
2023-02-11,Justin Tafa,Parker Porter,Heavyweight,-120,100
2023-02-11,Tyson Pedro,Modestas Bukauskas,Light Heavyweight,-215,185
2023-02-11,Josh Culibao,Melsik Baghdasaryan,Featherweight,-110,-110
2023-02-11,Shannon Ross,Kleydson Rodrigues,Flyweight,290,-350
2023-02-11,Jamie Mullarkey,Francisco Prado,Lightweight,-265,225
2023-02-11,Jack Jenkins,Don Shainis,Featherweight,-450,360
2023-02-11,Loma Lookboonmee,Elise Reed,Women's Strawweight,-345,285
2023-02-11,Shane Young,Blake Bilder,Featherweight,-145,125
2023-02-11,Zubaira Tukhugov,Elves Brener,Lightweight,-625,470
2023-02-04,Derrick Lewis,Serghei Spivac,Heavyweight,255,-305
2023-02-04,Da Woon Jung,Devin Clark,Light Heavyweight,-275,230
2023-02-04,Marcin Tybura,Blagoy Ivanov,Heavyweight,-145,125
2023-02-04,Yusaku Kinoshita,Adam Fugitt,Welterweight,-345,285
2023-02-04,Jeka Saragih,Anshul Jubli,Lightweight,-155,135
2023-02-04,JeongYeong Lee,Yizha,Featherweight,-215,185
2023-02-04,Toshiomi Kazama,Rinya Nakamura,Bantamweight,450,-600
2023-02-04,SeungGuk Choi,HyunSung Park,Flyweight,185,-215
2023-02-04,JunYong Park,Denis Tiuliulin,Middleweight,-200,170
2023-02-04,Tatsuro Taira,Jesus Aguilar,Flyweight,-1250,800
2023-01-21,Glover Teixeira,Jamahal Hill,Light Heavyweight,125,-145
2023-01-21,Deiveson Figueiredo,Brandon Moreno,Flyweight,115,-135
2023-01-21,Gilbert Burns,Neil Magny,Welterweight,-490,390
2023-01-21,Lauren Murphy,Jessica Andrade,Women's Flyweight,390,-490
2023-01-21,Paul Craig,Johnny Walker,Light Heavyweight,160,-190
2023-01-21,Mauricio Rua,Ihor Potieria,Light Heavyweight,165,-195
2023-01-21,Gregory Rodrigues,Brunno Ferreira,Middleweight,-305,255
2023-01-21,Thiago Moises,Melquizael Costa,Lightweight,-365,300
2023-01-21,Gabriel Bonfim,Mounir Lazzez,Welterweight,-175,150
2023-01-21,Shamil Abdurakhimov,Jailton Almeida,Heavyweight,675,-975
2023-01-21,Luan Lacerda,Cody Stamann,Bantamweight,300,-365
2023-01-21,Ismael Bonfim,Terrance McKinney,Lightweight,-110,-110
2023-01-21,Warlley Alves,Nicolas Dalby,Welterweight,-130,110
2023-01-21,Josiane Nunes,Zarah Fairn,Women's Featherweight,-540,420
2023-01-21,Saimon Oliveira,Daniel Marcos,Bantamweight,-140,120
2023-01-14,Sean Strickland,Nassourdine Imavov,Light Heavyweight,115,-135
2023-01-14,Dan Ige,Damon Jackson,Featherweight,-135,115
2023-01-14,Punahele Soriano,Roman Kopylov,Middleweight,-140,120
2023-01-14,Ketlen Vieira,Raquel Pennington,Women's Bantamweight,-150,130
2023-01-14,Umar Nurmagomedov,Raoni Barcelos,Bantamweight,-1050,700
2023-01-14,Javid Basharat,Mateus Mendonca,Bantamweight,-390,320
2023-01-14,Claudio Ribeiro,Abdul Razak Alhassan,Middleweight,-105,-115
2023-01-14,Mateusz Rebecki,Nick Fiore,Lightweight,-850,600
2023-01-14,Allan Nascimento,Carlos Hernandez,Flyweight,-325,270
2023-01-14,Dan Argueta,Nick Aguirre,Featherweight,-500,400
2023-01-14,Charles Johnson,Jimmy Flick,Flyweight,-360,295
2022-12-17,Jared Cannonier,Sean Strickland,Middleweight,-115,-105
2022-12-17,Arman Tsarukyan,Damir Ismagulov,Lightweight,-200,170
2022-12-17,Amir Albazi,Alessandro Costa,Flyweight,-425,340
2022-12-17,Alex Caceres,Julian Erosa,Featherweight,145,-170
2022-12-17,Drew Dober,Bobby Green,Lightweight,-170,145
2022-12-17,Cody Brundage,Michal Oleksiejczuk,Middleweight,205,-245
2022-12-17,Cheyanne Vlismas,Cory McKenna,Women's Strawweight,-190,160
2022-12-17,Jake Matthews,Matthew Semelsberger,Welterweight,-305,255
2022-12-17,Said Nurmagomedov,Saidyokub Kakhramonov,Bantamweight,-110,-110
2022-12-17,Rafa Garcia,Maheshate,Lightweight,-165,140
2022-12-17,Bryan Battle,Rinat Fakhretdinov,Welterweight,135,-155
2022-12-17,David Dvorak,Manel Kape,Flyweight,175,-205
2022-12-17,Sergey Morozov,Journey Newson,Bantamweight,-315,260
2022-12-10,Paddy Pimblett,Jared Gordon,Lightweight,-260,220
2022-12-10,Santiago Ponzinibbio,Alex Morono,Catch Weight,-155,135
2022-12-10,Darren Till,Dricus Du Plessis,Middleweight,165,-195
2022-12-10,Bryce Mitchell,Ilia Topuria,Featherweight,130,-150
2022-12-10,Raul Rosas Jr.,Jay Perrin,Bantamweight,-280,235
2022-12-10,Jairzinho Rozenstruik,Chris Daukaus,Heavyweight,-165,140
2022-12-10,Edmen Shahbazyan,Dalcha Lungiambula,Middleweight,-315,260
2022-12-10,Chris Curtis,Joaquin Buckley,Middleweight,145,-170
2022-12-10,Billy Quarantillo,Alexander Hernandez,Featherweight,-165,140
2022-12-10,TJ Brown,Erik Silva,Featherweight,-120,100
2022-12-10,Cameron Saaiman,Steven Koslow,Bantamweight,-285,240
2022-12-03,Stephen Thompson,Kevin Holland,Welterweight,145,-170
2022-12-03,Bryan Barberena,Rafael Dos Anjos,Welterweight,340,-425
2022-12-03,Matheus Nicolau,Matt Schnell,Flyweight,-390,320
2022-12-03,Tai Tuivasa,Sergei Pavlovich,Heavyweight,155,-180
2022-12-03,Jack Hermansson,Roman Dolidze,Middleweight,-225,190
2022-12-03,Eryk Anders,Kyle Daukaus,Middleweight,195,-230
2022-12-03,Niko Price,Phil Rowe,Welterweight,-120,100
2022-12-03,Angela Hill,Emily Ducote,Women's Strawweight,110,-130
2022-12-03,Clay Guida,Scott Holtzman,Lightweight,195,-230
2022-12-03,Michael Johnson,Marc Diakiese,Lightweight,310,-380
2022-12-03,Darren Elkins,Jonathan Pearce,Featherweight,400,-500
2022-12-03,Natan Levy,Genaro Valdez,Lightweight,-240,200
2022-12-03,Marcelo Rojo,Francis Marshall,Featherweight,135,-155
2022-12-03,Yazmin Jauregui,Istela Nunes,Women's Strawweight,-350,290
2022-11-19,Kennedy Nzechukwu,Ion Cutelaba,Light Heavyweight,-195,165
2022-11-19,Chase Sherman,Waldo Cortes-Acosta,Heavyweight,190,-225
2022-11-19,Andre Fialho,Muslim Salikhov,Welterweight,-105,-115
2022-11-19,Jack Della Maddalena,Danny Roberts,Welterweight,-700,510
2022-11-19,Charles Johnson,Zhalgas Zhumagulov,Flyweight,-165,140
2022-11-19,Jennifer Maia,Maryna Moroz,Women's Flyweight,130,-150
2022-11-19,Vince Morales,Miles Johns,Bantamweight,150,-175
2022-11-19,Ricky Turcios,Kevin Natividad,Bantamweight,-195,165
2022-11-19,Vanessa Demopoulos,Maria Oliveira,Women's Strawweight,-110,-110
2022-11-19,Brady Hiestand,Fernie Garcia,Bantamweight,-175,150
2022-11-19,Natalia Silva,Tereza Bleda,Women's Flyweight,-165,140
2022-11-12,Israel Adesanya,Alex Pereira,Middleweight,-210,180
2022-11-12,Carla Esparza,Zhang Weili,Women's Strawweight,325,-400
2022-11-12,Dustin Poirier,Michael Chandler,Lightweight,-235,185
2022-11-12,Frankie Edgar,Chris Gutierrez,Bantamweight,210,-250
2022-11-12,Dan Hooker,Claudio Puelles,Lightweight,-155,135
2022-11-12,Brad Riddell,Renato Moicano,Lightweight,105,-125
2022-11-12,Dominick Reyes,Ryan Spann,Light Heavyweight,-195,165
2022-11-12,Erin Blanchfield,Molly McCann,Women's Flyweight,-425,340
2022-11-12,Andre Petroski,Wellington Turman,Middleweight,-175,150
2022-11-12,Matt Frevola,Ottman Azaitar,Lightweight,140,-165
2022-11-12,Karolina Kowalkiewicz,Silvana Gomez Juarez,Women's Strawweight,-110,-110
2022-11-12,Michael Trizano,SeungWoo Choi,Featherweight,160,-190
2022-11-12,Julio Arce,Montel Jackson,Bantamweight,170,-200
2022-11-12,Carlos Ulberg,Nicolae Negumereanu,Light Heavyweight,-135,115
2022-11-05,Marina Rodriguez,Amanda Lemos,Women's Strawweight,-245,205
2022-11-05,Neil Magny,Daniel Rodriguez,Welterweight,-115,-105
2022-11-05,Darrick Minner,Shayilan Nuerdanbieke,Featherweight,330,-410
2022-11-05,Tagir Ulanbekov,Nate Maness,Flyweight,-245,205
2022-11-05,Grant Dawson,Mark Madsen,Lightweight,-200,170
2022-11-05,Miranda Maverick,Shanna Young,Women's Flyweight,-850,600
2022-11-05,Mario Bautista,Benito Lopez,Bantamweight,-365,300
2022-11-05,Polyana Viana,Jinh Yu Frey,Women's Strawweight,-145,125
2022-11-05,Liudvik Sholinian,Johnny Munoz,Bantamweight,225,-265
2022-11-05,Carlos Candelario,Jake Hadley,Flyweight,225,-265
2022-11-05,Tamires Vidal,Ramona Pascual,Women's Bantamweight,-125,105
2022-10-29,Calvin Kattar,Arnold Allen,Featherweight,105,-125
2022-10-29,Tim Means,Max Griffin,Welterweight,160,-190
2022-10-29,Waldo Cortes-Acosta,Jared Vanderaa,Heavyweight,-210,180
2022-10-29,Josh Fremd,Tresean Gore,Middleweight,-155,135
2022-10-29,Dustin Jacoby,Khalil Rountree Jr.,Light Heavyweight,-175,150
2022-10-29,Phil Hawes,Roman Dolidze,Middleweight,-180,155
2022-10-29,Andrei Arlovski,Marcos Rogerio de Lima,Heavyweight,200,-240
2022-10-29,Joseph Holmes,JunYong Park,Middleweight,170,-200
2022-10-29,Chase Hooper,Steve Garcia,Featherweight,-320,265
2022-10-29,Cody Durden,Carlos Mota,Flyweight,135,-155
2022-10-29,Christian Rodriguez,Joshua Weems,Bantamweight,-425,340
2022-10-22,Charles Oliveira,Islam Makhachev,Lightweight,175,-205
2022-10-22,Aljamain Sterling,TJ Dillashaw,Bantamweight,-180,155
2022-10-22,Petr Yan,Sean O'Malley,Bantamweight,-285,240
2022-10-22,Beneil Dariush,Mateusz Gamrot,Lightweight,210,-250
2022-10-22,Katlyn Chookagian,Manon Fiorot,Women's Flyweight,190,-225
2022-10-22,Belal Muhammad,Sean Brady,Welterweight,115,-135
2022-10-22,Makhmud Muradov,Caio Borralho,Middleweight,180,-210
2022-10-22,Volkan Oezdemir,Nikita Krylov,Light Heavyweight,160,-190
2022-10-22,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Welterweight,-140,120
2022-10-22,Armen Petrosyan,AJ Dobson,Middleweight,-215,185
2022-10-22,Muhammad Mokaev,Malcolm Gordon,Flyweight,-1150,750
2022-10-22,Karol Rosa,Lina Lansberg,Women's Bantamweight,-425,340
2022-10-15,Alexa Grasso,Viviane Araujo,Women's Flyweight,-210,180
2022-10-15,Cub Swanson,Jonathan Martinez,Bantamweight,190,-225
2022-10-15,Jordan Wright,Dusko Todorovic,Middleweight,190,-225
2022-10-15,Raphael Assuncao,Victor Henry,Bantamweight,350,-435
2022-10-15,Misha Cirkunov,Alonzo Menifield,Light Heavyweight,160,-190
2022-10-15,Mana Martinez,Brandon Davis,Bantamweight,-145,125
2022-10-15,Nick Maximov,Jacob Malkoun,Middleweight,-140,120
2022-10-15,Joanderson Brito,Lucas Alexander,Featherweight,-380,310
2022-10-15,Piera Rodriguez,Sam Hughes,Women's Strawweight,-180,155
2022-10-15,Tatsuro Taira,CJ Vergara,Flyweight,-275,230
2022-10-15,Mike Jackson,Pete Rodriguez,Welterweight,500,-675
2022-10-01,Mackenzie Dern,Yan Xiaonan,Women's Strawweight,-260,220
2022-10-01,Randy Brown,Francisco Trinaldo,Welterweight,-325,270
2022-10-01,Raoni Barcelos,Trevin Jones,Bantamweight,-260,220
2022-10-01,Sodiq Yusuff,Don Shainis,Featherweight,-1050,700
2022-10-01,Mike Davis,Viacheslav Borshchev,Lightweight,-190,160
2022-10-01,John Castaneda,Daniel Santos,Catch Weight,-180,155
2022-10-01,Ilir Latifi,Aleksei Oleinik,Heavyweight,-195,165
2022-10-01,Joaquim Silva,Jesse Ronson,Lightweight,-140,120
2022-10-01,Krzysztof Jotko,Brendan Allen,Middleweight,-125,105
2022-10-01,Julija Stoliarenko,Chelsea Chandler,Catch Weight,-125,105
2022-10-01,Guido Cannetti,Randy Costa,Bantamweight,235,-280
2022-09-17,Cory Sandhagen,Song Yadong,Bantamweight,-205,175
2022-09-17,Chidi Njokuani,Gregory Rodrigues,Middleweight,-130,110
2022-09-17,Andre Fili,Bill Algeo,Featherweight,-135,115
2022-09-17,Joe Pyfer,Alen Amedovski,Middleweight,-520,410
2022-09-17,Tanner Boser,Rodrigo Nascimento,Heavyweight,-180,155
2022-09-17,Anthony Hernandez,Marc-Andre Barriault,Middleweight,-215,185
2022-09-17,Damon Jackson,Pat Sabatini,Featherweight,185,-215
2022-09-17,Trevin Giles,Louis Cosce,Welterweight,-205,175
2022-09-17,Denise Gomes,Loma Lookboonmee,Women's Strawweight,170,-200
2022-09-17,Trey Ogden,Daniel Zellhuber,Lightweight,330,-410
2022-09-17,Mariya Agapova,Gillian Robertson,Women's Flyweight,135,-155
2022-09-17,Tony Gravely,Javid Basharat,Bantamweight,140,-165
2022-09-17,Nikolas Motta,Cameron VanCamp,Lightweight,-150,130
2022-09-10,Nate Diaz,Tony Ferguson,Welterweight,130,-150
2022-09-10,Khamzat Chimaev,Kevin Holland,Catch Weight,-580,440
2022-09-10,Li Jingliang,Daniel Rodriguez,Catch Weight,145,-170
2022-09-10,Irene Aldana,Macy Chiasson,Catch Weight,-195,165
2022-09-10,Johnny Walker,Ion Cutelaba,Light Heavyweight,155,-180
2022-09-10,Hakeem Dawodu,Julian Erosa,Featherweight,-215,185
2022-09-10,Jailton Almeida,Anton Turkalj,Catch Weight,-645,480
2022-09-10,Denis Tiuliulin,Jamie Pickett,Middleweight,110,-130
2022-09-10,Jake Collier,Chris Barnett,Heavyweight,-540,420
2022-09-10,Norma Dumont,Danyelle Wolf,Women's Featherweight,-360,295
2022-09-10,Chad Anheliger,Alatengheili,Bantamweight,155,-180
2022-09-10,Melissa Martinez,Elise Reed,Women's Strawweight,-175,150
2022-09-10,Darian Weeks,Yohan Lainesse,Welterweight,-120,100
2022-09-03,Ciryl Gane,Tai Tuivasa,Heavyweight,-475,380
2022-09-03,Robert Whittaker,Marvin Vettori,Middleweight,-210,180
2022-09-03,Nassourdine Imavov,Joaquin Buckley,Middleweight,-250,210
2022-09-03,Alessio Di Chirico,Roman Kopylov,Middleweight,-105,-115
2022-09-03,William Gomis,Jarno Errens,Featherweight,-215,185
2022-09-03,Charles Jourdain,Nathaniel Wood,Featherweight,-150,130
2022-09-03,Abus Magomedov,Dustin Stoltzfus,Middleweight,-295,245
2022-09-03,John Makdessi,Nasrat Haqparast,Lightweight,195,-230
2022-09-03,Fares Ziam,Michal Figlak,Lightweight,180,-210
2022-09-03,Benoit Saint Denis,Gabriel Miranda,Lightweight,-300,250
2022-09-03,Khalid Taha,Cristian Quinonez,Bantamweight,-125,105
2022-09-03,Stephanie Egger,Ailin Perez,Women's Featherweight,-260,220
2022-08-20,Kamaru Usman,Leon Edwards,Welterweight,-315,260
2022-08-20,Paulo Costa,Luke Rockhold,Middleweight,-330,275
2022-08-20,Jose Aldo,Merab Dvalishvili,Bantamweight,135,-155
2022-08-20,Wu Yanan,Lucie Pudilova,Women's Bantamweight,125,-145
2022-08-20,Tyson Pedro,Harry Hunsucker,Light Heavyweight,-850,600
2022-08-20,Marcin Tybura,Alexandr Romanov,Heavyweight,265,-320
2022-08-20,Leonardo Santos,Jared Gordon,Lightweight,230,-275
2022-08-20,AJ Fletcher,Ange Loosa,Welterweight,-165,140
2022-08-20,Amir Albazi,Francisco Figueiredo,Flyweight,-500,400
2022-08-20,Aoriqileng,Jay Perrin,Bantamweight,-125,105
2022-08-20,Daniel Lacerda,Victor Altamirano,Flyweight,140,-165
2022-08-13,Marlon Vera,Dominick Cruz,Bantamweight,-225,190
2022-08-13,Nate Landwehr,David Onama,Featherweight,280,-340
2022-08-13,Yazmin Jauregui,Iasmin Lucindo,Women's Strawweight,-210,180
2022-08-13,Devin Clark,Azamat Murzakanov,Light Heavyweight,130,-150
2022-08-13,Priscila Cachoeira,Ariane Lipski,Women's Bantamweight,185,-215
2022-08-13,Bruno Silva,Gerald Meerschaert,Middleweight,-295,245
2022-08-13,Angela Hill,Loopy Godinez,Catch Weight,275,-330
2022-08-13,Martin Buday,Lukasz Brzeski,Heavyweight,-305,255
2022-08-13,Cynthia Calvillo,Nina Nunes,Women's Flyweight,-190,160
2022-08-13,Gabriel Benitez,Charlie Ontiveros,Lightweight,-360,295
2022-08-13,Ode Osbourne,Tyson Nam,Flyweight,-460,370
2022-08-13,Jason Witt,Josh Quinlan,Catch Weight,250,-300
2022-08-06,Thiago Santos,Jamahal Hill,Light Heavyweight,265,-320
2022-08-06,Vicente Luque,Geoff Neal,Welterweight,-210,180
2022-08-06,Mohammed Usman,Zac Pauga,Heavyweight,235,-280
2022-08-06,Brogan Walker,Juliana Miller,Women's Flyweight,120,-140
2022-08-06,Augusto Sakai,Serghei Spivac,Heavyweight,260,-315
2022-08-06,Terrance McKinney,Erick Gonzalez,Lightweight,-950,650
2022-08-06,Sam Alvey,Michal Oleksiejczuk,Middleweight,520,-720
2022-08-06,Bryan Battle,Takashi Sato,Welterweight,-325,270
2022-08-06,Cory McKenna,Miranda Granger,Women's Strawweight,-195,165
2022-08-06,Mayra Bueno Silva,Stephanie Egger,Women's Bantamweight,100,-120
2022-07-30,Julianna Pena,Amanda Nunes,Women's Bantamweight,205,-245
2022-07-30,Brandon Moreno,Kai Kara-France,Flyweight,-210,180
2022-07-30,Derrick Lewis,Sergei Pavlovich,Heavyweight,135,-155
2022-07-30,Alexandre Pantoja,Alex Perez,Flyweight,-195,165
2022-07-30,Magomed Ankalaev,Anthony Smith,Light Heavyweight,-610,460
