Date,RedFighter,BlueFighter,WeightClass,RedOdds,BlueOdds
2024-10-26,Abus Magomedov,Brunno Ferreira,Middleweight,-155,130
2024-10-26,Kennedy Nzechukwu,Chris Barnett,Heavyweight,-800,550
2024-10-26,Farid Basharat,Victor Hugo,Featherweight,-575,425
2024-10-26,Ismail Naurdiev,Bruno Silva,Middleweight,-148,124
2024-10-26,Rinat Fakhretdinov,Carlos Leal,Welterweight,-218,180
2024-10-19,Anthony Hernandez,Michel Pereira,Middleweight,-162,136
2024-10-19,Rob Font,Kyler Phillips,Bantamweight,455,-625
2024-10-19,Charles Johnson,Sumudaerji,Flyweight,-305,245
2024-10-19,Jake Hadley,Cameron Smotherman,Bantamweight,-575,425
2024-10-19,Darren Elkins,Daniel Pineda,Featherweight,-170,142
2024-10-19,Matheus Nicolau,Asu Almabayev,Flyweight,205,-250
2024-10-19,Brad Katona,Jean Matsumoto,Bantamweight,170,-205
2024-10-19,Joselyne Edwards,Tamires Vidal,Women's Bantamweight,-258,210
2024-10-19,Jessica Penne,Elise Reed,Women's Strawweight,190,-230
2024-10-19,Melissa Martinez,Alice Ardelean,Women's Strawweight,-155,130
2024-10-19,Austen Lane,Robelis Despaigne,Heavyweight,330,-425
2024-10-12,Brandon Royval,Tatsuro Taira,Flyweight,250,-310
2024-10-12,Brad Tavares,JunYong Park,Middleweight,-195,238
2024-10-12,Chidi Njokuani,Jared Gooden,Welterweight,-148,124
2024-10-12,Grant Dawson,Rafa Garcia,Lightweight,-380,300
2024-10-12,Daniel Rodriguez,Alex Morono,Welterweight,-245,200
2024-10-12,CJ Vergara,Ramazan Temirov,Flyweight,240,-298
2024-10-12,Jonathan Pearce,Pat Sabatini,Featherweight,-180,150
2024-10-12,Themba Gorimbo,Niko Price,Welterweight,-290,235
2024-10-12,Junior Tafa,Sean Sharaf,Heavyweight,-238,195
2024-10-12,Julia Polastri,Cory McKenna,Women's Strawweight,-108,-112
2024-10-12,Dan Argueta,Cody Haddon,Bantamweight,124,-148
2024-10-12,Clayton Carpenter,Lucas Rocha,Flyweight,-245,200
2024-10-05,Alex Pereira,Khalil Rountree Jr.,Light Heavyweight,-425,330
2024-10-05,Raquel Pennington,Julianna Pena,Women's Bantamweight,-155,130
2024-10-05,Jose Aldo,Mario Bautista,Bantamweight,102,-122
2024-10-05,Roman Dolidze,Kevin Holland,Middleweight,124,-148
2024-10-05,Ketlen Vieira,Kayla Harrison,Women's Bantamweight,700,-1100
2024-10-05,Stephen Thompson,Joaquin Buckley,Welterweight,185,-225
2024-10-05,Marina Rodriguez,Iasmin Lucindo,Women's Strawweight,154,-185
2024-10-05,Austin Hubbard,Alexander Hernandez,Lightweight,-112,-108
2024-10-05,Cesar Almeida,Ihor Potieria,Middleweight,-500,380
2024-10-05,Ryan Spann,Ovince Saint Preux,Light Heavyweight,-205,170
2024-10-05,Carla Esparza,Tecia Pennington,Women's Strawweight,145,-175
2024-10-05,Court McGee,Tim Means,Welterweight,180,-218
2024-09-28,Renato Moicano,Benoit Saint Denis,Lightweight,210,-258
2024-09-28,Nassourdine Imavov,Brendan Allen,Middleweight,-225,185
2024-09-28,William Gomis,Joanderson Brito,Featherweight,245,-305
2024-09-28,Kevin Jousset,Bryan Battle,Welterweight,160,-192
2024-09-28,Morgan Charriere,Gabriel Miranda,Featherweight,-520,390
2024-09-28,Fares Ziam,Matt Frevola,Lightweight,-125,105
2024-09-28,Ion Cutelaba,Ivan Erslan,Light Heavyweight,-102,-118
2024-09-28,Oumar Sy,Da Woon Jung,Light Heavyweight,-625,455
2024-09-28,Ludovit Klein,Roosevelt Roberts,Lightweight,-950,625
2024-09-28,Taylor Lapilus,Vince Morales,Bantamweight,-360,285
2024-09-28,Ailin Perez,Daria Zhelezniakova,Women's Bantamweight,-245,200
2024-09-28,Daniel Barez,Victor Altamirano,Flyweight,105,-125
2024-09-28,Nora Cornolle,Jacqueline Cavalcanti,Women's Bantamweight,170,-205
2024-09-28,Bolaji Oki,Chris Duncan,Lightweight,-155,130
2024-09-14,Sean O'Malley,Merab Dvalishvili,Bantamweight,100,-120
2024-09-14,Alexa Grasso,Valentina Shevchenko,Women's Flyweight,-130,110
2024-09-14,Brian Ortega,Diego Lopes,Featherweight,170,-205
2024-09-14,Daniel Zellhuber,Esteban Ribovics,Lightweight,-198,164
2024-09-14,Ronaldo Rodriguez,Ode Osbourne,Flyweight,-205,170
