RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Miranda Maverick,Jamey-Lyn Horth,-770.0,540.0,True,1.1299,0.0,-1310.0,-7,-2.54,-10.16,5,2,18,0,1,2,2,0,2,-0.58,0.2,1.18,0,2024-12-14,False,Women's Flyweight,FEMALE,3,0,1,1,1,9,0,0,0,2,Orthodox,170.18,167.64,0,3,3,3,27,0,1,2,7,Southpaw,160.02,165.1,27,34,20,20
Davey Grant,Ramon Taveras,-700.0,440.0,True,1.1429,0.0,-1140.0,8,-2.54,0.0,4,5,27,1,2,1,-2,1,1,1.51,0.2,0.95,0,2024-12-14,False,Bantamweight,MALE,3,0,2,2,1,5,0,1,0,2,Southpaw,172.72,177.8,1,0,3,6,32,1,3,1,6,Orthodox,172.72,175.26,38,30,20,20
Josefine Knutsson,Piera Rodriguez,-250.0,205.0,False,0.0,3.05,-455.0,-4,-7.62,0.0,1,-2,-1,0,0,0,4,-2,1,0.2,0.0,-2.44,0,2024-12-14,False,Women's Strawweight,FEMALE,3,2,0,3,2,13,0,0,0,3,Orthodox,160.02,160.02,0,4,4,0,12,0,0,0,4,Orthodox,160.02,152.4,28,32,20,20
Mackenzie Dern,Amanda Ribas,164.0,-196.0,True,2.64,0.0,360.0,0,-7.62,0.0,2,1,9,0,-1,2,1,-1,0,-0.79,0.5,-1.12,-2,2025-01-11,False,Women's Strawweight,FEMALE,5,1,0,4,4,30,0,1,2,7,Orthodox,162.56,167.64,0,1,4,5,39,0,0,4,9,Orthodox,162.56,160.02,31,31,8,6
Santiago Ponzinibbio,Carlston Harris,-154.0,130.0,True,1.6494,0.0,-284.0,1,-7.62,0.0,7,5,34,0,5,-2,0,1,5,0.99,-0.6,-0.86,0,2025-01-11,False,Welterweight,MALE,3,1,0,2,2,10,0,1,2,4,Orthodox,182.88,193.04,2,0,7,7,44,0,6,0,11,Orthodox,182.88,185.42,38,37,20,20
Cesar Almeida,Abdul Razak Alhassan,-260.0,215.0,True,1.3846,0.0,-475.0,-3,2.54,7.62,-3,-5,-12,0,-5,0,1,0,-1,-0.18,0.0,-0.84,0,2025-01-11,False,Middleweight,MALE,3,0,0,3,6,23,0,6,0,6,Orthodox,177.8,185.42,0,1,2,1,11,0,1,0,3,Orthodox,185.42,187.96,36,39,20,20
Chris Curtis,Roman Kopylov,198.0,-240.0,False,0.0,1.4167,438.0,5,0.0,-5.08,1,0,7,0,0,0,-1,1,0,0.93,0.0,-1.14,0,2025-01-11,False,Middleweight,MALE,3,0,1,4,3,20,0,4,0,5,Southpaw,182.88,190.5,1,0,4,3,27,0,4,0,6,Orthodox,177.8,190.5,37,32,20,20
Christian Rodriguez,Austin Bashi,-1000.0,580.0,True,1.1,0.0,-1580.0,4,2.54,2.54,4,2,15,0,0,0,-1,1,3,2.1,-0.6,-6.06,0,2025-01-11,False,Featherweight,MALE,3,0,1,1,0,2,0,0,1,1,Orthodox,167.64,177.8,1,0,4,2,17,0,0,1,5,Orthodox,170.18,180.34,27,23,20,20
Punahele Soriano,Uros Medic,190.0,-230.0,True,2.9,0.0,420.0,1,2.54,-5.08,0,2,9,0,-2,0,0,0,1,-1.17,0.1,1.63,0,2025-01-11,False,Welterweight,MALE,3,0,1,2,2,11,0,5,0,5,Southpaw,185.42,180.34,0,1,3,4,20,0,3,0,5,Southpaw,180.34,182.88,32,31,20,20
Jose Johnson,Felipe Bunes,-162.0,136.0,False,0.0,2.36,-298.0,-6,5.08,12.7,2,2,11,0,0,1,0,0,1,-0.9,-0.7,-0.39,0,2025-01-11,False,Flyweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,170.18,175.26,1,0,1,3,13,0,0,1,2,Orthodox,182.88,180.34,29,35,20,20
Marco Tulio,Ihor Potieria,-500.0,385.0,True,1.2,0.0,-885.0,2,-2.54,-7.62,-1,-5,-9,0,-1,0,2,-2,1,2.25,0.3,0.69,0,2025-01-11,False,Middleweight,MALE,3,2,0,1,5,14,0,2,0,3,Southpaw,190.5,190.5,0,2,2,0,5,0,1,0,2,Orthodox,182.88,187.96,30,28,20,20
Thiago Moises,Trey Ogden,-162.0,136.0,True,1.6173,0.0,-298.0,-6,-5.08,-5.08,5,4,16,0,2,3,-2,1,1,-0.68,0.4,-0.52,0,2025-01-11,False,Lightweight,MALE,3,0,2,2,2,18,0,0,0,3,Orthodox,180.34,182.88,1,0,3,6,34,0,2,3,8,Orthodox,175.26,177.8,29,35,20,20
Preston Parsons,Jacobe Smith,450.0,-600.0,False,0.0,1.1667,1050.0,1,-2.54,2.54,1,3,11,0,-1,0,-1,1,0,-3.35,1.6,-4.32,0,2025-01-11,False,Welterweight,MALE,3,0,1,1,0,2,0,1,0,1,Southpaw,177.8,182.88,1,0,1,3,13,0,0,0,2,Orthodox,180.34,180.34,29,28,20,20
Ernesta Kareckaite,Nicolle Caliari,-255.0,210.0,True,1.3922,0.0,-465.0,-2,22.86,15.24,0,1,5,0,0,-1,-1,1,0,3.82,-1.0,-2.13,0,2025-01-11,False,Women's Flyweight,FEMALE,3,0,1,1,0,1,0,0,1,1,Orthodox,160.02,157.48,1,0,1,1,6,0,0,0,1,Orthodox,175.26,180.34,26,28,20,20
Magomed Gadzhiyasulov,Bruno Lopes,-800.0,490.0,False,0.0,5.9,-1290.0,0,2.54,0.0,1,-1,3,0,-1,0,1,0,1,0.01,0.0,1.74,0,2025-01-11,False,Light Heavyweight,MALE,3,0,1,1,1,3,0,1,0,1,Orthodox,187.96,187.96,0,2,2,0,6,0,0,0,2,Orthodox,187.96,190.5,31,31,20,20
Fatima Kline,Viktoriia Dudakova,-800.0,560.0,True,1.125,0.0,-1360.0,-1,0.0,2.54,-3,0,-7,0,-1,0,0,0,-3,2.14,0.0,-0.71,0,2025-01-11,False,Women's Strawweight,FEMALE,3,1,0,3,1,10,0,1,0,3,Orthodox,165.1,170.18,1,0,0,1,3,0,0,0,0,Orthodox,167.64,170.18,24,25,20,20
Nurullo Aliev,Joe Solecki,-720.0,530.0,True,1.1389,0.0,-1250.0,-7,5.08,2.54,-4,-3,-16,0,1,-3,2,-2,-2,0.75,-1.1,0.06,0,2025-01-11,False,Lightweight,MALE,3,2,0,4,3,20,0,0,3,6,Orthodox,175.26,177.8,0,2,2,0,4,0,1,0,2,Orthodox,177.8,182.88,24,31,20,20
Islam Makhachev,Renato Moicano,-1450.0,770.0,True,1.069,0.0,-2220.0,-2,-5.08,-2.54,3,-4,2,4,1,1,10,0,10,-1.65,0.4,1.42,-10,2025-01-18,True,Lightweight,MALE,5,0,4,4,5,37,0,2,6,12,Orthodox,180.34,182.88,0,14,14,1,39,4,3,7,15,Southpaw,177.8,177.8,33,35,10,0
Merab Dvalishvili,Umar Nurmagomedov,220.0,-270.0,True,3.2,0.0,490.0,5,-2.54,-5.08,5,2,27,1,0,-2,5,0,5,0.56,0.1,1.94,-2,2025-01-18,True,Bantamweight,MALE,5,0,6,6,0,15,0,1,2,6,Orthodox,172.72,175.26,0,11,11,2,42,1,1,0,11,Orthodox,167.64,172.72,34,29,2,0
Jiri Prochazka,Jamahal Hill,102.0,-120.0,True,2.02,0.0,222.0,-1,2.54,-2.54,-3,0,-6,1,-2,1,0,0,-1,-0.58,0.2,0.49,-1,2025-01-18,False,Light Heavyweight,MALE,3,1,0,4,2,21,2,5,0,7,Southpaw,193.04,200.66,1,0,3,2,15,3,3,1,4,Orthodox,190.5,203.2,32,33,3,2
Jailton Almeida,Serghei Spivac,-490.0,380.0,True,1.2041,0.0,-870.0,4,2.54,0.0,0,-3,-6,0,-1,2,0,0,4,-1.34,1.2,1.82,-1,2025-01-18,False,Heavyweight,MALE,3,0,1,3,4,22,0,3,3,8,Orthodox,190.5,198.12,0,1,7,1,16,0,2,5,8,Orthodox,190.5,200.66,33,29,7,6
Kevin Holland,Reinier de Ridder,106.0,-124.0,False,0.0,1.8065,230.0,-2,7.62,-2.54,13,9,55,0,5,4,-1,1,4,1.77,0.0,-1.77,0,2025-01-18,False,Middleweight,MALE,3,0,1,1,0,3,0,0,1,1,Southpaw,193.04,198.12,1,0,5,9,58,0,5,5,14,Orthodox,190.5,205.74,32,34,20,20
Payton Talbott,Raoni Barcelos,-1200.0,750.0,False,0.0,8.5,-1950.0,-11,7.62,7.62,-3,-4,-20,0,0,-1,3,0,-1,1.97,-0.5,-1.73,0,2025-01-18,False,Bantamweight,MALE,3,0,1,5,4,29,0,2,2,7,Orthodox,170.18,170.18,0,4,4,0,9,0,2,1,4,Switch,177.8,177.8,26,37,20,20
Zach Reese,Azamat Bekoev,158.0,-188.0,False,0.0,1.5319,346.0,1,12.7,10.16,3,1,6,0,1,1,2,0,2,-0.09,1.3,-0.68,0,2025-01-18,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,0,2,2,1,6,0,1,1,3,Switch,193.04,195.58,30,29,20,20
Bogdan Guskov,Billy Elekana,-400.0,310.0,True,1.25,0.0,-710.0,3,-2.54,0.0,2,1,4,0,2,0,2,0,2,1.86,-0.1,-0.85,-7,2025-01-18,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,190.5,195.58,0,2,2,1,4,0,2,0,2,Orthodox,190.5,193.04,32,29,20,13
