,RedFighter,BlueFighter,Finish,FinishRound,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank,BetterRank
16,Bryce Mitchell,Kron Gracie,KO/TKO,3.0,-950,625,12/7/2024,Red,False,Featherweight,MALE,3,2,0,1,2,7,0,0,1,1,Southpaw,175.26,177.8,36,,1,0,6,2,22,0,0,1,7,Southpaw,177.8,177.8,30,13.0,Red
17,Nate Landwehr,Dooho Choi,KO/TKO,3.0,-130,110,12/7/2024,Blue,False,Featherweight,MALE,3,0,1,3,3,15,0,4,0,4,Orthodox,177.8,177.8,33,,0,1,3,3,17,0,1,2,5,Orthodox,175.26,182.88,36,,neither
18,Dominick Reyes,Anthony Smith,KO/TKO,2.0,-380,300,12/7/2024,Red,False,Light Heavyweight,MALE,3,1,0,3,12,63,1,7,6,15,Orthodox,193.04,193.04,36,13.0,0,1,6,4,21,2,4,1,7,Southpaw,193.04,195.58,34,12.0,Red
19,Vicente Luque,Themba Gorimbo,SUB,1.0,-650,-162,12/7/2024,Red,False,Welterweight,MALE,3,0,4,4,1,12,0,1,0,4,Orthodox,185.42,195.58,33,,1,0,6,6,47,0,8,5,15,Orthodox,180.34,190.5,33,14.0,Red
20,Movsar Evloev,Aljamain Sterling,U-DEC,3.0,-238,195,12/7/2024,Red,False,Featherweight,MALE,3,0,1,9,4,57,5,2,4,16,Orthodox,170.18,180.34,35,9.0,0,8,8,0,24,0,0,0,8,Orthodox,170.18,182.88,30,5.0,Red
21,Randy Brown,Bryan Battle,S-DEC,3.0,150,-180,12/7/2024,Blue,False,Welterweight,MALE,3,0,3,3,1,16,0,3,2,6,Orthodox,185.42,195.58,30,,0,3,4,5,43,0,3,3,13,Orthodox,190.5,198.12,34,,neither
22,Chris Weidman,Eryk Anders,KO/TKO,2.0,-112,-108,12/7/2024,Blue,False,Catch Weight,MALE,3,0,1,2,8,44,0,4,0,8,Southpaw,185.42,190.5,37,,0,1,9,7,46,5,4,3,12,Orthodox,187.96,198.12,40,,neither
23,Cody Durden,Joshua Van,U-DEC,3.0,142,-170,12/7/2024,Blue,False,Flyweight,MALE,3,0,1,3,1,14,0,1,0,4,Orthodox,165.1,165.1,23,,0,1,4,4,24,0,1,1,6,Southpaw,170.18,170.18,33,14.0,Red
24,Michael Chiesa,Max Griffin,SUB,3.0,-130,110,12/7/2024,Red,False,Welterweight,MALE,3,0,1,3,8,44,0,3,0,8,Orthodox,180.34,193.04,39,,0,1,4,7,41,1,0,7,12,Southpaw,185.42,190.5,37,,neither
25,Clay Guida,Chase Hooper,SUB,1.0,700,-1100,12/7/2024,Blue,False,Lightweight,MALE,3,0,3,3,3,23,0,2,3,7,Southpaw,185.42,187.96,25,,2,0,4,19,105,2,2,5,20,Orthodox,170.18,177.8,42,,neither
26,Kennedy Nzechukwu,Lukasz Brzeski,KO/TKO,1.0,-550,410,12/7/2024,Red,False,Heavyweight,MALE,3,1,0,1,4,14,0,0,1,2,Orthodox,193.04,198.12,32,,0,1,3,5,31,0,6,1,9,Southpaw,195.58,210.82,32,,neither
27,Petr Yan,Deiveson Figueiredo,U-DEC,5.0,-305,245,11/23/2024,Red,False,Bantamweight,MALE,5,0,3,5,3,44,6,4,4,13,Orthodox,165.1,172.72,36,5.0,0,1,7,4,45,4,4,0,9,Switch,170.18,170.18,31,3.0,Red
28,Yan Xiaonan,Tabatha Ricci,U-DEC,3.0,-198,164,11/23/2024,Red,False,Women's Strawweight,FEMALE,3,0,2,4,2,22,0,0,1,6,Orthodox,154.94,154.94,29,10.0,1,0,6,3,34,1,1,0,8,Orthodox,165.1,160.02,35,2.0,Red
29,Song Kenan,Muslim Salikhov,KO/TKO,1.0,-230,190,11/23/2024,Blue,False,Welterweight,MALE,3,0,1,5,4,26,0,3,0,7,Orthodox,180.34,177.8,40,,0,1,2,4,23,0,3,0,6,Orthodox,182.88,180.34,34,,neither
30,Wang Cong,Gabriella Fernandes,SUB,2.0,-950,750,11/23/2024,Blue,False,Women's Flyweight,FEMALE,3,0,1,1,2,9,0,0,0,1,Southpaw,167.64,167.64,31,,0,2,2,0,2,0,1,1,2,Southpaw,167.64,167.64,32,,neither
