RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,WinsDiff,LossesDiff,WinStreakDiff,LoseStreakDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,Finish,FinishRound,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank
Ludovit Klein,Michael Trizano,-250,210,False,0.0,3.1,-460,-3,2.539999999999992,-1,-1,1,-1,0,2021-05-08,False,Featherweight,MALE,3,U-DEC,3,1,0,2,1,8,0,0,0,2,Orthodox,180.34,180.34,29,20,0,1,1,0,1,0,1,0,1,Southpaw,170.18,182.88,26,20
Junyong Park,Tafon Nchukwi,135,-155,True,2.35,0.0,290,4,-10.160000000000025,0,1,0,0,0,2021-05-08,False,Middleweight,MALE,3,M-DEC,3,0,2,2,0,5,0,1,0,2,Orthodox,182.88,195.58,26,20,0,2,2,1,8,0,0,0,2,Orthodox,177.8,185.42,30,20
Christian Aguilera,Carlston Harris,175,-210,False,0.0,1.4762,385,-4,-10.159999999999997,1,1,0,1,0,2021-05-08,False,Welterweight,MALE,3,SUB,1,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,33,20,1,0,1,1,3,0,1,0,1,Switch,175.26,182.88,29,20
Dominick Reyes,Jiri Prochazka,-120,100,False,0.0,2.0,-220,3,-7.619999999999976,5,2,-1,2,-2,2021-05-01,False,Light Heavyweight,MALE,5,KO/TKO,2,0,1,1,0,2,0,1,0,1,Orthodox,190.5,203.2,28,5,2,0,6,2,17,2,3,1,6,Southpaw,193.04,195.58,31,3
Giga Chikadze,Cub Swanson,-220,180,True,1.4545,0.0,-400,-5,10.159999999999997,-12,-9,3,0,-1,2021-05-01,False,Featherweight,MALE,3,KO/TKO,1,0,2,6,10,72,0,5,2,17,Orthodox,172.72,177.8,37,15,0,5,5,1,16,0,1,0,5,Orthodox,182.88,187.96,32,14
Sean Strickland,Krzysztof Jotko,-245,205,True,1.4082,0.0,-450,-1,-2.5400000000000205,0,-1,0,0,-5,2021-05-01,False,Middleweight,MALE,3,U-DEC,3,0,3,5,4,35,0,1,0,9,Southpaw,185.42,195.58,31,20,0,3,3,3,30,0,3,1,9,Orthodox,185.42,193.04,30,15
Merab Dvalishvili,Cody Stamann,-290,245,True,1.3448,0.0,-535,-1,10.159999999999997,0,0,5,-1,-1,2021-05-01,False,Bantamweight,MALE,3,U-DEC,3,1,0,3,2,23,0,0,0,5,Orthodox,167.64,162.56,31,13,0,5,5,2,21,0,0,0,5,Orthodox,167.64,172.72,30,12
Randa Markos,Luana Pinheiro,135,-155,False,0.0,1.6452,290,7,2.5400000000000205,5,9,-1,3,0,2021-05-01,False,Women's Strawweight,FEMALE,3,DQ,1,0,1,1,0,1,0,1,0,1,Orthodox,157.48,157.48,28,20,3,0,1,9,42,0,0,1,6,Orthodox,162.56,160.02,35,20
Kai Kamaka,TJ Brown,-162,142,False,0.0,2.42,-304,-4,-7.6200000000000045,0,-1,0,-1,0,2021-05-01,False,Featherweight,MALE,3,S-DEC,3,2,0,1,2,8,0,0,1,1,Switch,175.26,182.88,30,20,1,0,1,1,5,0,0,0,1,Orthodox,170.18,175.26,26,20
Poliana Botelho,Luana Carolina,-245,205,False,0.0,3.05,-450,5,-5.079999999999984,1,1,0,0,0,2021-05-01,False,Women's Flyweight,FEMALE,3,S-DEC,3,1,0,2,1,7,0,0,0,2,Orthodox,167.64,175.26,27,20,1,0,2,2,11,0,1,0,3,Orthodox,172.72,170.18,32,20
Loma Lookboonmee,Sam Hughes,-420,335,True,1.2381,0.0,-755,-3,-7.6200000000000045,2,0,1,-1,0,2021-05-01,False,Women's Strawweight,FEMALE,3,U-DEC,3,1,0,0,1,1,0,0,0,0,Orthodox,165.1,162.56,28,20,0,1,1,1,9,0,0,0,2,Orthodox,154.94,154.94,25,20
Andreas Michailidis,KB Bhullar,-190,165,True,1.5263,0.0,-355,3,-5.0800000000000125,0,0,0,0,0,2021-05-01,False,Middleweight,MALE,3,U-DEC,3,1,0,0,1,1,0,0,0,0,Switch,193.04,198.12,29,20,1,0,0,1,1,0,0,0,0,Orthodox,182.88,193.04,32,20
Luke Sanders,Felipe Colares,-127,107,False,0.0,2.07,-234,8,-5.079999999999984,3,2,0,0,0,2021-05-01,False,Featherweight,MALE,3,U-DEC,3,1,0,1,2,9,0,0,0,1,Orthodox,172.72,175.26,27,20,1,0,2,4,14,0,2,1,4,Southpaw,167.64,170.18,35,20
Kamaru Usman,Jorge Masvidal,-320,260,True,1.3125,0.0,-580,-3,5.079999999999984,-4,-8,13,-1,-4,2021-04-24,True,Welterweight,MALE,5,KO/TKO,2,1,0,4,8,70,1,7,1,17,Orthodox,180.34,187.96,36,4,0,13,13,0,46,4,3,1,13,Switch,182.88,193.04,33,0
Zhang Weili,Rose Namajunas,-200,170,False,0.0,2.7,-370,3,-5.079999999999984,-2,-3,4,0,-1,2021-04-24,True,Women's Strawweight,FEMALE,5,KO/TKO,1,0,1,3,3,28,4,1,3,7,Orthodox,165.1,165.1,28,1,0,5,5,0,13,2,1,1,5,Switch,162.56,160.02,31,0
Valentina Shevchenko,Jessica Andrade,-450,360,True,1.2222,0.0,-810,4,10.159999999999997,-3,-4,5,0,-1,2021-04-24,True,Women's Flyweight,FEMALE,5,KO/TKO,2,0,1,4,6,40,3,4,2,12,Orthodox,154.94,157.48,29,1,0,6,6,2,40,6,2,2,9,Southpaw,165.1,167.64,33,0
Uriah Hall,Chris Weidman,140,-160,True,2.4,0.0,300,0,2.539999999999992,-2,2,2,0,-2,2021-04-24,False,Middleweight,MALE,3,KO/TKO,1,0,1,9,5,39,5,4,3,11,Orthodox,187.96,198.12,36,11,0,3,3,7,36,0,7,0,9,Orthodox,182.88,200.66,36,9
Anthony Smith,Jimmy Crute,210,-250,True,3.1,0.0,460,7,5.079999999999984,6,7,-1,0,-14,2021-04-24,False,Light Heavyweight,MALE,3,KO/TKO,1,0,2,3,1,8,0,3,2,5,Orthodox,187.96,187.96,25,20,0,1,3,8,46,1,6,4,11,Orthodox,193.04,193.04,32,6
Alex Oliveira,Randy Brown,105,-125,False,0.0,1.8,230,3,-5.0800000000000125,5,3,0,0,0,2021-04-24,False,Welterweight,MALE,3,SUB,1,1,0,2,4,25,0,2,2,6,Orthodox,190.5,198.12,30,20,1,0,4,7,43,0,4,3,11,Orthodox,180.34,193.04,33,20
Dwight Grant,Stefan Sekulic,-175,155,True,1.5714,0.0,-330,7,2.539999999999992,3,1,0,0,0,2021-04-24,False,Welterweight,MALE,3,S-DEC,3,1,0,0,1,3,0,0,0,0,Southpaw,182.88,190.5,29,20,1,0,2,2,10,0,2,0,3,Switch,185.42,193.04,36,20
Karl Roberson,Brendan Allen,115,-135,False,0.0,1.7407,250,5,-2.539999999999992,1,2,0,0,0,2021-04-24,False,Middleweight,MALE,3,SUB,1,1,0,4,1,9,0,1,2,4,Orthodox,187.96,190.5,25,20,1,0,2,3,14,0,1,2,5,Southpaw,185.42,187.96,30,20
Pat Sabatini,Tristan Connelly,-240,200,True,1.4167,0.0,-440,-5,5.0800000000000125,-1,0,-1,0,0,2021-04-24,False,Featherweight,MALE,3,U-DEC,3,0,1,1,0,3,0,0,0,1,Orthodox,177.8,172.72,35,20,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,30,20
Danaa Batgerel,Kevin Natividad,-230,190,True,1.4348,0.0,-420,3,0.0,1,0,1,-1,0,2021-04-24,False,Bantamweight,MALE,3,KO/TKO,1,1,0,0,1,3,0,0,0,0,Orthodox,167.64,177.8,28,20,0,1,1,1,4,0,1,0,1,Orthodox,170.18,177.8,31,20
Kazula Vargas,Rong Zhu,175,-210,True,2.75,0.0,385,14,0.0,0,2,0,2,0,2021-04-24,False,Lightweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,21,20,2,0,0,2,4,0,0,0,0,Southpaw,172.72,180.34,35,20
Aori Qileng,Jeff Molina,100,-120,False,0.0,1.8333,220,4,0.0,-1,0,-1,0,0,2021-04-24,False,Flyweight,MALE,3,U-DEC,3,0,1,1,0,3,0,0,0,1,Orthodox,167.64,175.26,23,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,27,20
Na Liang,Ariane Carnelossi,178,-215,False,0.0,1.4651,393,-4,15.240000000000009,0,-1,0,-1,0,2021-04-24,False,Women's Strawweight,FEMALE,3,KO/TKO,2,1,0,0,1,3,0,0,0,0,Orthodox,157.48,154.94,28,20,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,24,20
Robert Whittaker,Kelvin Gastelum,-245,205,True,1.4082,0.0,-450,1,5.079999999999984,2,-3,1,0,-7,2021-04-17,False,Middleweight,MALE,5,U-DEC,5,0,1,5,6,47,1,3,2,11,Southpaw,175.26,180.34,29,8,0,2,9,3,45,2,5,0,13,Orthodox,182.88,185.42,30,1
Andrei Arlovski,Chase Sherman,110,-130,True,2.1,0.0,240,11,-2.539999999999992,18,13,-1,1,0,2021-04-17,False,Heavyweight,MALE,3,U-DEC,3,0,1,2,5,19,0,2,0,3,Orthodox,193.04,198.12,31,20,1,0,6,18,85,5,11,2,21,Orthodox,190.5,195.58,42,20
Abdul Razak Alhassan,Jacob Malkoun,-300,250,False,0.0,3.5,-550,10,0.0,4,2,0,1,0,2021-04-17,False,Middleweight,MALE,3,U-DEC,3,1,0,0,1,1,0,0,0,0,Orthodox,175.26,185.42,25,20,2,0,3,3,11,0,4,0,4,Orthodox,177.8,185.42,35,20
Tracy Cortez,Justine Kish,-325,265,True,1.3077,0.0,-590,-6,2.539999999999992,0,-3,3,-1,0,2021-04-17,False,Women's Flyweight,FEMALE,3,S-DEC,3,1,0,2,3,18,0,0,0,3,Orthodox,165.1,162.56,33,20,0,3,3,0,9,0,0,0,3,Orthodox,165.1,165.1,27,20
Luis Pena,Alexander Munoz,-155,135,True,1.6452,0.0,-290,-4,7.6200000000000045,3,2,0,0,0,2021-04-17,False,Lightweight,MALE,3,S-DEC,3,1,0,1,1,6,0,0,0,1,Switch,175.26,182.88,31,20,1,0,2,3,19,0,1,1,4,Southpaw,190.5,190.5,27,20
Alexandr Romanov,Juan Espino,-160,140,True,1.625,0.0,-300,-10,-12.699999999999989,0,0,0,0,0,2021-04-17,False,Heavyweight,MALE,3,S-DEC,3,0,2,2,0,2,0,0,2,2,Orthodox,190.5,203.2,40,20,0,2,2,0,3,0,0,2,2,Southpaw,187.96,190.5,30,20
Jessica Penne,Loopy Godinez,210,-250,True,3.1,0.0,460,11,15.240000000000009,4,4,0,3,0,2021-04-17,False,Women's Strawweight,FEMALE,3,S-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,157.48,154.94,27,20,3,0,2,4,21,1,1,2,4,Orthodox,165.1,170.18,38,20
Bartosz Fabinski,Gerald Meerschaert,-125,105,False,0.0,2.05,-230,1,-5.0800000000000125,-3,-4,0,0,0,2021-04-17,False,Middleweight,MALE,3,SUB,1,2,0,2,6,23,0,1,5,6,Southpaw,185.42,195.58,33,20,2,0,3,2,11,0,0,0,3,Orthodox,182.88,190.5,34,20
Austin Hubbard,Dakota Bush,-230,190,True,1.4348,0.0,-420,3,-5.079999999999984,2,3,0,1,0,2021-04-17,False,Lightweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,26,20,1,0,1,3,12,0,1,0,2,Orthodox,177.8,180.34,29,20
Tony Gravely,Anthony Birchak,-390,320,True,1.2564,0.0,-710,-5,0.0,0,-2,1,-1,0,2021-04-17,False,Bantamweight,MALE,3,KO/TKO,2,1,0,1,3,7,0,1,0,2,Orthodox,172.72,175.26,34,20,0,1,1,1,9,0,1,0,2,Orthodox,165.1,175.26,29,20
Marvin Vettori,Kevin Holland,-290,245,True,1.3448,0.0,-535,-1,-17.78,-3,-1,4,-1,-4,2021-04-10,False,Middleweight,MALE,5,U-DEC,5,1,0,5,3,31,0,3,2,9,Orthodox,190.5,205.74,28,10,0,4,4,2,25,0,0,2,6,Southpaw,182.88,187.96,27,6
Arnold Allen,Sodiq Yusuff,135,-155,True,2.35,0.0,290,0,-2.539999999999992,2,0,2,0,-1,2021-04-10,False,Featherweight,MALE,3,U-DEC,3,0,5,5,0,11,0,2,0,5,Orthodox,175.26,180.34,27,11,0,7,7,0,21,0,0,2,7,Southpaw,172.72,177.8,27,10
Sam Alvey,Julian Marquez,125,-145,False,0.0,1.6897,270,4,7.6200000000000045,7,8,-1,4,0,2021-04-10,False,Middleweight,MALE,3,SUB,2,0,1,2,1,10,0,1,2,3,Orthodox,187.96,182.88,30,20,4,0,4,9,44,0,5,1,10,Southpaw,187.96,190.5,34,20
Nina Nunes,Mackenzie Dern,-120,100,False,0.0,2.0,-220,7,2.539999999999992,-1,2,-3,1,-6,2021-04-10,False,Women's Strawweight,FEMALE,3,SUB,1,0,3,3,1,12,0,0,3,5,Orthodox,162.56,160.02,28,11,1,0,4,3,21,0,0,1,4,Orthodox,165.1,162.56,35,5
Mike Perry,Daniel Rodriguez,100,-120,False,0.0,1.8333,220,-5,-7.6200000000000045,3,6,0,0,0,2021-04-10,False,Welterweight,MALE,3,U-DEC,3,1,0,4,1,12,0,1,1,4,Southpaw,185.42,187.96,34,20,1,0,2,7,33,0,4,0,7,Orthodox,177.8,180.34,29,20
Jim Miller,Joe Solecki,205,-245,False,0.0,1.4082,450,10,2.539999999999992,18,14,-3,1,0,2021-04-10,False,Lightweight,MALE,3,U-DEC,3,0,3,3,0,5,0,0,2,3,Orthodox,175.26,177.8,27,20,1,0,7,14,80,0,3,10,21,Southpaw,172.72,180.34,37,20
Scott Holtzman,Mateusz Gamrot,185,-225,False,0.0,1.4444,410,7,-2.5400000000000205,7,3,0,0,0,2021-04-10,False,Lightweight,MALE,3,KO/TKO,2,1,0,0,1,3,0,0,0,0,Southpaw,177.8,177.8,30,20,1,0,3,4,30,0,2,1,7,Orthodox,175.26,175.26,37,20
John Makdessi,Ignacio Bahamondes,170,-200,True,2.7,0.0,370,12,-17.78,9,7,-1,1,0,2021-04-10,False,Lightweight,MALE,3,S-DEC,3,0,1,1,0,2,0,1,0,1,Orthodox,190.5,190.5,23,20,1,0,3,7,42,0,3,0,10,Orthodox,172.72,172.72,35,20
Yorgan De Castro,Jarjis Danho,-310,255,False,0.0,3.55,-565,-3,0.0,2,1,0,1,0,2021-04-10,False,Heavyweight,MALE,3,KO/TKO,1,1,0,0,1,6,0,0,0,0,Orthodox,190.5,187.96,37,20,2,0,2,2,8,0,2,0,2,Orthodox,182.88,187.96,34,20
Hunter Azure,Jack Shore,160,-185,False,0.0,1.5405,345,3,-5.0800000000000125,1,1,-1,0,0,2021-04-10,False,Bantamweight,MALE,3,S-DEC,3,0,2,2,0,5,0,0,2,2,Orthodox,172.72,180.34,26,20,0,1,2,1,11,0,0,0,3,Orthodox,172.72,175.26,29,20
Luis Saldana,Jordan Griffin,-145,125,True,1.6897,0.0,-270,-1,0.0,-1,-3,1,-1,0,2021-04-10,False,Featherweight,MALE,3,U-DEC,3,1,0,1,3,12,0,0,2,2,Southpaw,177.8,185.42,31,20,0,1,1,0,3,0,1,0,1,Orthodox,180.34,185.42,30,20
Da-Un Jung,William Knight,-147,127,True,1.6803,0.0,-274,-6,12.700000000000017,-1,0,-1,0,0,2021-04-10,False,Light Heavyweight,MALE,3,U-DEC,3,0,3,3,0,7,0,2,0,3,Orthodox,177.8,185.42,33,20,0,2,2,0,7,0,1,1,2,Orthodox,193.04,198.12,27,20
Impa Kasanganay,Sasha Palatnikov,-250,210,True,1.4,0.0,-460,-5,7.6200000000000045,2,1,-1,1,0,2021-04-10,False,Welterweight,MALE,3,SUB,2,0,1,1,0,3,0,1,0,1,Switch,185.42,182.88,32,20,1,0,3,1,11,0,0,0,3,Orthodox,180.34,190.5,27,20
Stipe Miocic,Francis Ngannou,117,-137,False,0.0,1.7299,254,4,-7.6200000000000045,4,1,-2,0,-1,2021-03-27,True,Heavyweight,MALE,5,KO/TKO,2,0,4,6,2,20,1,9,1,10,Orthodox,193.04,210.82,34,1,0,2,6,3,44,7,9,0,14,Orthodox,193.04,203.2,38,0
Tyron Woodley,Vicente Luque,170,-200,False,0.0,1.5,370,9,-2.539999999999992,5,3,-2,3,-3,2021-03-27,False,Welterweight,MALE,3,SUB,1,0,2,6,3,30,0,8,3,12,Orthodox,180.34,190.5,29,10,3,0,8,6,68,6,6,4,17,Orthodox,175.26,187.96,38,7
Sean O'Malley,Thomas Almeida,-370,310,True,1.2703,0.0,-680,-3,5.079999999999984,0,-3,0,-2,0,2021-03-27,False,Bantamweight,MALE,3,KO/TKO,3,3,0,4,4,18,0,4,0,5,Southpaw,170.18,177.8,29,20,1,0,5,1,10,0,3,0,5,Switch,180.34,182.88,26,20
Gillian Robertson,Miranda Maverick,125,-145,False,0.0,1.6897,270,2,-5.079999999999984,5,3,-1,1,-5,2021-03-27,False,Women's Flyweight,FEMALE,3,U-DEC,3,0,1,1,0,1,0,1,0,1,Southpaw,160.02,165.1,23,20,1,0,2,3,18,0,1,4,6,Orthodox,165.1,160.02,25,15
Jamie Mullarkey,Khama Worthy,115,-135,True,2.15,0.0,250,-8,0.0,-2,1,0,1,0,2021-03-27,False,Lightweight,MALE,3,KO/TKO,1,1,0,2,1,5,0,1,1,2,Orthodox,180.34,187.96,34,20,2,0,0,2,6,0,0,0,0,Orthodox,182.88,187.96,26,20
Alonzo Menifield,Fabio Cherant,-275,235,True,1.3636,0.0,-510,7,7.6200000000000045,4,1,0,1,0,2021-03-27,False,Light Heavyweight,MALE,3,SUB,1,1,0,0,1,2,0,0,0,0,Southpaw,185.42,185.42,26,20,2,0,4,2,9,0,4,0,4,Orthodox,182.88,193.04,33,20
Jared Gooden,Abubakar Nurmagomedov,175,-210,False,0.0,1.4762,385,-4,12.700000000000017,0,0,0,0,0,2021-03-27,False,Welterweight,MALE,3,U-DEC,3,1,0,0,1,1,0,0,0,0,Orthodox,180.34,182.88,31,20,1,0,0,1,3,0,0,0,0,Orthodox,182.88,195.58,27,20
Modestas Bukauskas,Michal Oleksiejczuk,157,-177,False,0.0,1.565,334,1,10.159999999999997,-1,-1,0,-1,0,2021-03-27,False,Light Heavyweight,MALE,3,S-DEC,3,2,0,2,2,8,0,2,0,2,Southpaw,182.88,187.96,26,20,1,0,1,1,2,0,1,0,1,Switch,190.5,198.12,27,20
Shane Young,Omar Morales,170,-200,False,0.0,1.5,370,-8,-2.539999999999992,-1,1,0,0,0,2021-03-27,False,Featherweight,MALE,3,U-DEC,3,1,0,3,1,11,0,1,0,3,Orthodox,180.34,185.42,35,20,1,0,2,2,9,0,1,0,2,Orthodox,172.72,182.88,27,20
Marc-Andre Barriault,Abu Azaitar,-127,107,True,1.7874,0.0,-234,-4,-5.079999999999984,-1,3,-1,3,0,2021-03-27,False,Middleweight,MALE,3,KO/TKO,3,0,1,1,0,3,0,0,0,1,Orthodox,175.26,193.04,35,20,3,0,0,3,11,0,0,0,0,Orthodox,185.42,187.96,31,20
Derek Brunson,Kevin Holland,175,-210,True,2.75,0.0,385,9,-10.159999999999997,6,4,-2,0,-3,2021-03-20,False,Middleweight,MALE,5,U-DEC,5,0,5,5,2,26,0,3,2,9,Orthodox,190.5,205.74,28,10,0,3,5,6,39,0,7,2,15,Southpaw,185.42,195.58,37,7
Song Kenan,Max Griffin,165,-190,False,0.0,1.5263,355,-4,-12.699999999999989,0,-5,1,0,0,2021-03-20,False,Welterweight,MALE,3,KO/TKO,1,0,1,1,6,28,0,2,0,4,Orthodox,180.34,193.04,35,20,0,2,2,1,10,0,3,0,4,Orthodox,182.88,180.34,31,20
Cheyanne Buys,Montserrat Conejo,-260,220,False,0.0,3.2,-480,-3,5.0800000000000125,1,0,1,0,0,2021-03-20,False,Women's Strawweight,FEMALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Southpaw,152.4,154.94,28,20,0,1,1,0,3,0,0,0,1,Switch,160.02,160.02,25,20
Adrian Yanez,Gustavo Lopez,-215,178,True,1.4651,0.0,-393,-4,7.6200000000000045,1,-1,1,0,0,2021-03-20,False,Bantamweight,MALE,3,KO/TKO,3,0,1,1,1,4,0,0,1,1,Orthodox,165.1,170.18,31,20,0,2,2,0,2,0,2,0,2,Orthodox,170.18,177.8,27,20
Tai Tuivasa,Harry Hunsucker,-430,345,True,1.2326,0.0,-775,-4,0.0,4,2,1,-1,0,2021-03-20,False,Heavyweight,MALE,3,KO/TKO,1,1,0,0,1,1,0,0,0,0,Orthodox,187.96,190.5,32,20,0,1,3,3,13,0,3,0,4,Southpaw,187.96,190.5,28,20
Marion Reneau,Macy Chiasson,185,-225,False,0.0,1.4444,410,14,-10.159999999999997,1,4,-1,3,-2,2021-03-20,False,Women's Bantamweight,FEMALE,3,U-DEC,3,0,1,3,1,11,0,2,1,4,Orthodox,180.34,182.88,29,11,3,0,2,5,30,0,2,2,5,Orthodox,167.64,172.72,43,9
Leonardo Santos,Grant Dawson,160,-185,False,0.0,1.5405,345,14,7.6200000000000045,2,0,2,0,0,2021-03-20,False,Lightweight,MALE,3,KO/TKO,3,0,5,5,0,12,0,0,3,5,Switch,177.8,182.88,27,20,0,7,6,0,18,0,2,2,7,Orthodox,182.88,190.5,41,20
Trevin Giles,Roman Dolidze,-115,-105,True,1.8696,0.0,-10,-4,-5.079999999999984,2,2,0,0,0,2021-03-20,False,Middleweight,MALE,3,U-DEC,3,0,2,2,0,4,0,1,0,2,Orthodox,187.96,193.04,32,20,0,2,2,2,17,0,3,0,4,Orthodox,182.88,187.96,28,20
Montel Jackson,Jesse Strader,-600,450,True,1.1667,0.0,-1050,-1,12.699999999999989,4,2,0,1,0,2021-03-20,False,Bantamweight,MALE,3,KO/TKO,1,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,29,20,1,0,3,2,16,0,1,1,4,Southpaw,177.8,190.5,28,20
Bruno Silva,JP Buys,115,-135,True,2.15,0.0,250,7,-5.0800000000000125,-1,1,-1,2,0,2021-03-20,False,Flyweight,MALE,3,KO/TKO,2,0,1,1,1,3,0,0,1,1,Orthodox,165.1,170.18,24,20,2,0,0,2,9,0,0,0,0,Orthodox,162.56,165.1,31,20
Misha Cirkunov,Ryan Spann,-125,105,False,0.0,2.05,-230,5,-5.079999999999984,1,1,1,-1,-2,2021-03-13,False,Light Heavyweight,MALE,3,KO/TKO,1,1,0,5,2,12,0,1,2,5,Orthodox,195.58,200.66,29,13,0,1,4,3,12,0,1,5,6,Orthodox,190.5,195.58,34,11
Dan Ige,Gavin Tucker,-190,165,True,1.5263,0.0,-355,-5,12.700000000000017,3,1,-3,1,-11,2021-03-13,False,Featherweight,MALE,3,KO/TKO,1,0,3,3,1,15,0,0,2,4,Southpaw,167.64,167.64,34,20,1,0,6,2,25,0,1,2,7,Orthodox,170.18,180.34,29,9
Jonathan Martinez,Davey Grant,-300,250,False,0.0,3.5,-550,-9,2.5400000000000205,1,-1,0,0,0,2021-03-13,False,Bantamweight,MALE,3,KO/TKO,2,0,2,2,3,15,0,1,0,3,Orthodox,172.72,175.26,35,20,0,2,2,2,18,0,2,0,4,Southpaw,172.72,177.8,26,20
Manel Kape,Matheus Nicolau,-130,110,False,0.0,2.1,-240,-1,5.0800000000000125,-3,0,0,0,0,2021-03-13,False,Flyweight,MALE,3,S-DEC,3,1,0,3,1,10,0,0,1,3,Orthodox,167.64,167.64,28,20,1,0,0,1,3,0,0,0,0,Southpaw,165.1,172.72,27,20
Angela Hill,Ashley Yoder,-330,270,True,1.303,0.0,-600,3,-12.699999999999989,4,4,-1,2,-8,2021-03-13,False,Women's Strawweight,FEMALE,3,U-DEC,3,0,1,2,5,24,0,0,0,3,Southpaw,170.18,175.26,33,20,2,0,3,9,45,0,2,0,7,Orthodox,160.02,162.56,36,12
Charles Jourdain,Marcelo Rojo,-300,250,True,1.3333,0.0,-550,-7,-5.0800000000000125,1,2,0,1,0,2021-03-13,False,Featherweight,MALE,3,KO/TKO,1,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,32,20,1,0,1,2,11,0,1,0,1,Switch,175.26,175.26,25,20
Rani Yahya,Ray Rodriguez,-270,230,True,1.3704,0.0,-500,3,-7.6200000000000045,15,5,0,-1,0,2021-03-13,False,Bantamweight,MALE,3,SUB,2,2,0,0,2,4,0,0,0,0,Orthodox,170.18,177.8,33,20,1,0,4,7,55,0,0,10,15,Orthodox,167.64,170.18,36,20
Nasrat Haqparast,Rafa Garcia,-525,415,True,1.1905,0.0,-940,-1,5.079999999999984,4,2,1,0,0,2021-03-13,False,Lightweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,26,20,0,1,3,2,15,0,1,0,4,Southpaw,177.8,182.88,25,20
Cortney Casey,JJ Aldrich,122,-142,False,0.0,1.7042,264,5,0.0,1,4,0,0,0,2021-03-13,False,Women's Flyweight,FEMALE,3,S-DEC,3,1,0,3,3,20,0,0,0,4,Southpaw,165.1,170.18,28,20,1,0,2,7,30,0,1,2,5,Orthodox,170.18,170.18,33,20
Gloria de Paula,Jinh Yu Frey,-200,170,False,0.0,2.7,-370,-10,5.0800000000000125,1,-2,1,-2,0,2021-03-13,False,Women's Strawweight,FEMALE,3,U-DEC,3,2,0,0,2,6,0,0,0,0,Southpaw,160.02,165.1,35,20,0,1,1,0,3,0,0,0,1,Orthodox,165.1,170.18,25,20
Matthew Semelsberger,Jason Witt,-130,110,True,1.7692,0.0,-240,-6,12.699999999999989,0,-1,0,0,0,2021-03-13,False,Welterweight,MALE,3,KO/TKO,1,0,1,1,1,3,0,0,1,1,Orthodox,177.8,177.8,34,20,0,1,1,0,3,0,0,0,1,Switch,185.42,190.5,28,20
Jan Blachowicz,Israel Adesanya,205,-245,True,3.05,0.0,450,7,-5.079999999999984,1,5,-5,0,-20,2021-03-06,True,Light Heavyweight,MALE,5,U-DEC,5,0,9,9,0,28,4,4,0,9,Switch,193.04,203.2,31,20,0,4,4,5,39,1,4,2,10,Orthodox,187.96,198.12,38,0
Amanda Nunes,Megan Anderson,-700,500,True,1.1429,0.0,-1200,1,-7.6200000000000045,11,0,9,0,-20,2021-03-06,True,Women's Featherweight,FEMALE,5,SUB,1,0,2,2,2,7,0,2,1,3,Orthodox,182.88,182.88,31,20,0,11,11,2,37,8,8,2,14,Orthodox,172.72,175.26,32,0
Petr Yan,Aljamain Sterling,-122,102,False,0.0,2.02,-224,-3,-10.159999999999997,-4,-3,2,0,-1,2021-03-06,True,Bantamweight,MALE,5,DQ,4,0,5,5,3,36,0,1,4,11,Orthodox,170.18,180.34,31,1,0,7,7,0,20,1,4,0,7,Switch,170.18,170.18,28,0
Islam Makhachev,Drew Dober,-460,365,True,1.2174,0.0,-825,-3,0.0,-3,-4,3,0,-6,2021-03-06,False,Lightweight,MALE,3,SUB,3,0,3,3,5,30,0,6,1,10,Southpaw,172.72,177.8,32,20,0,6,6,1,17,0,1,2,7,Southpaw,177.8,177.8,29,14
