RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,WinsDiff,LossesDiff,WinStreakDiff,LoseStreakDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,Finish,FinishRound,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank
Nate Landwehr,Dooho Choi,-130,110,False,0.0,2.1,-240,3,5.079999999999984,1,0,0,0,0,2024-12-07,False,Featherweight,MALE,3,KO/TKO,3,0,1,3,3,15,0,4,0,4,Orthodox,177.8,177.8,33,20,0,1,3,3,17,0,1,2,5,Orthodox,175.26,182.88,36,20
Dominick Reyes,Anthony Smith,-380,300,True,1.2632,0.0,-680,-2,2.5400000000000205,-8,-8,1,-1,-1,2024-12-07,False,Light Heavyweight,MALE,3,KO/TKO,2,1,0,3,12,63,1,7,6,15,Orthodox,193.04,193.04,36,13,0,1,6,4,21,2,4,1,7,Southpaw,193.04,195.58,34,12
Vicente Luque,Themba Gorimbo,-650,-162,True,1.1538,0.0,-488,0,-5.0800000000000125,11,5,-4,1,-6,2024-12-07,False,Welterweight,MALE,3,SUB,1,0,4,4,1,12,0,1,0,4,Orthodox,185.42,195.58,33,20,1,0,6,6,47,0,8,5,15,Orthodox,180.34,190.5,33,14
Movsar Evloev,Aljamain Sterling,-238,195,True,1.4202,0.0,-433,-5,2.539999999999992,-8,-4,7,0,-4,2024-12-07,False,Featherweight,MALE,3,U-DEC,3,0,1,9,4,57,5,2,4,16,Orthodox,170.18,180.34,35,9,0,8,8,0,24,0,0,0,8,Orthodox,170.18,182.88,30,5
Randy Brown,Bryan Battle,150,-180,False,0.0,1.5556,330,4,2.539999999999992,7,4,0,0,0,2024-12-07,False,Welterweight,MALE,3,S-DEC,3,0,3,3,1,16,0,3,2,6,Orthodox,185.42,195.58,30,20,0,3,4,5,43,0,3,3,13,Orthodox,190.5,198.12,34,20
Chris Weidman,Eryk Anders,-112,-108,False,0.0,1.9259,-4,3,7.6200000000000045,4,-1,0,0,0,2024-12-07,False,Catch Weight,MALE,3,KO/TKO,2,0,1,2,8,44,0,4,0,8,Southpaw,185.42,190.5,37,20,0,1,9,7,46,5,4,3,12,Orthodox,187.96,198.12,40,20
Cody Durden,Joshua Van,142,-170,False,0.0,1.5882,312,10,5.0800000000000125,2,3,0,0,-6,2024-12-07,False,Flyweight,MALE,3,U-DEC,3,0,1,3,1,14,0,1,0,4,Orthodox,165.1,165.1,23,20,0,1,4,4,24,0,1,1,6,Southpaw,170.18,170.18,33,14
Michael Chiesa,Max Griffin,-130,110,True,1.7692,0.0,-240,-2,-2.539999999999992,4,-1,0,0,0,2024-12-07,False,Welterweight,MALE,3,SUB,3,0,1,3,8,44,0,3,0,8,Orthodox,180.34,193.04,39,20,0,1,4,7,41,1,0,7,12,Southpaw,185.42,190.5,37,20
Clay Guida,Chase Hooper,700,-1100,False,0.0,1.0909,1800,17,-10.159999999999997,13,16,-3,2,0,2024-12-07,False,Lightweight,MALE,3,SUB,1,0,3,3,3,23,0,2,3,7,Southpaw,185.42,187.96,25,20,2,0,4,19,105,2,2,5,20,Orthodox,170.18,177.8,42,20
Kennedy Nzechukwu,Lukasz Brzeski,-550,410,True,1.1818,0.0,-960,0,12.699999999999989,7,1,1,-1,0,2024-12-07,False,Heavyweight,MALE,3,KO/TKO,1,1,0,1,4,14,0,0,1,2,Orthodox,193.04,198.12,32,20,0,1,3,5,31,0,6,1,9,Southpaw,195.58,210.82,32,20
Petr Yan,Deiveson Figueiredo,-305,245,True,1.3279,0.0,-550,-5,-2.539999999999992,-4,1,-2,0,-2,2024-11-23,False,Bantamweight,MALE,5,U-DEC,5,0,3,5,3,44,6,4,4,13,Orthodox,165.1,172.72,36,5,0,1,7,4,45,4,4,0,9,Switch,170.18,170.18,31,3
Yan Xiaonan,Tabatha Ricci,-198,164,True,1.5051,0.0,-362,6,5.0800000000000125,2,1,-2,1,-8,2024-11-23,False,Women's Strawweight,FEMALE,3,U-DEC,3,0,2,4,2,22,0,0,1,6,Orthodox,154.94,154.94,29,10,1,0,6,3,34,1,1,0,8,Orthodox,165.1,160.02,35,2
Song Kenan,Muslim Salikhov,-230,190,False,0.0,2.9,-420,-6,2.539999999999992,-1,0,0,0,0,2024-11-23,False,Welterweight,MALE,3,KO/TKO,1,0,1,5,4,26,0,3,0,7,Orthodox,180.34,177.8,40,20,0,1,2,4,23,0,3,0,6,Orthodox,182.88,180.34,34,20
Wang Cong,Gabriella Fernandes,-950,750,False,0.0,8.5,-1700,1,0.0,1,-2,1,0,0,2024-11-23,False,Women's Flyweight,FEMALE,3,SUB,2,0,1,1,2,9,0,0,0,1,Southpaw,167.64,167.64,31,20,0,2,2,0,2,0,1,1,2,Southpaw,167.64,167.64,32,20
Volkan Oezdemir,Carlos Ulberg,215,-265,False,0.0,1.3774,480,1,-5.0800000000000125,1,5,-4,0,-2,2024-11-23,False,Light Heavyweight,MALE,3,U-DEC,3,0,6,6,1,13,0,5,1,7,Orthodox,193.04,195.58,34,10,0,2,3,6,31,1,4,1,8,Orthodox,187.96,190.5,35,8
Zhang Mingyang,Ozzy Diaz,-225,210,True,1.4444,0.0,-435,-8,-10.159999999999997,2,-1,2,-1,0,2024-11-23,False,Light Heavyweight,MALE,3,KO/TKO,1,1,0,0,1,2,0,0,0,0,Orthodox,193.04,200.66,34,20,0,2,2,0,2,0,2,0,2,Orthodox,187.96,190.5,26,20
Baergeng Jieleyisi,SuYoung You,190,-230,False,0.0,1.4348,420,0,12.700000000000017,0,1,0,0,0,2024-11-23,False,Bantamweight,MALE,3,U-DEC,3,0,2,2,0,6,0,0,0,2,Orthodox,167.64,165.1,28,20,0,2,2,1,8,0,0,1,2,Orthodox,175.26,177.8,28,20
Kiru Sahota,DongHun Choi,102,-122,False,0.0,1.8197,224,4,17.78,0,0,0,0,0,2024-11-23,False,Flyweight,MALE,3,KO/TKO,1,0,2,2,0,6,0,0,0,2,Switch,165.1,167.64,25,20,0,2,2,0,6,0,0,0,2,Orthodox,177.8,185.42,29,20
Shi Ming,Feng Xiaocan,380,-490,True,4.8,0.0,870,8,-15.23999999999998,0,0,0,0,0,2024-11-23,False,Women's Strawweight,FEMALE,3,KO/TKO,3,0,2,2,0,4,0,1,0,2,Southpaw,170.18,167.64,22,20,0,2,2,0,6,0,0,0,2,Orthodox,157.48,152.4,30,20
Nyamjargal Tumendemberel,Carlos Hernandez,102,-122,False,0.0,1.8197,224,-5,10.159999999999997,-1,-3,2,-2,0,2024-11-23,False,Flyweight,MALE,3,S-DEC,3,2,0,2,3,15,0,0,0,3,Orthodox,172.72,170.18,31,20,0,2,2,0,4,0,0,1,2,Orthodox,170.18,180.34,26,20
Lone'er Kavanagh,Jose Ochoa,-310,250,True,1.3226,0.0,-560,2,0.0,1,0,1,0,0,2024-11-23,False,Flyweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,23,20,0,1,1,0,1,0,1,0,1,Orthodox,162.56,170.18,25,20
Xiao Long,Quang Le,-144,136,True,1.6944,0.0,-280,-7,0.0,2,1,0,0,0,2024-11-23,False,Bantamweight,MALE,3,KO/TKO,3,1,0,0,1,3,0,0,0,0,Orthodox,167.64,177.8,33,20,1,0,2,2,12,0,0,0,2,Orthodox,172.72,177.8,26,20
Maheshate,Nikolas Motta,-245,200,False,0.0,3.0,-445,-7,2.539999999999992,0,0,0,0,0,2024-11-23,False,Lightweight,MALE,3,U-DEC,3,0,1,1,2,11,0,2,0,3,Orthodox,175.26,177.8,31,20,0,1,2,2,12,0,1,0,3,Orthodox,182.88,180.34,24,20
Jon Jones,Stipe Miocic,-550,410,True,1.1818,0.0,-960,-5,10.160000000000025,7,-3,18,-1,-8,2024-11-16,True,Heavyweight,MALE,5,KO/TKO,3,1,0,6,4,46,8,9,0,14,Orthodox,193.04,203.2,42,8,0,18,18,1,74,16,5,6,21,Orthodox,193.04,213.36,37,0
Charles Oliveira,Michael Chandler,-265,215,True,1.3774,0.0,-480,-3,7.6200000000000045,18,7,0,0,-5,2024-11-16,False,Lightweight,MALE,3,U-DEC,5,1,0,3,3,14,1,3,1,4,Orthodox,172.72,180.34,38,7,1,0,11,10,63,3,4,16,22,Orthodox,177.8,187.96,35,2
Bo Nickal,Paul Craig,-1350,800,True,1.0741,0.0,-2150,-8,0.0,-4,-8,5,-2,0,2024-11-16,False,Middleweight,MALE,3,U-DEC,3,2,0,4,8,34,0,3,6,9,Orthodox,190.5,193.04,36,20,0,5,5,0,6,0,1,4,5,Southpaw,185.42,193.04,28,20
Viviane Araujo,Karine Silva,235,-290,True,3.35,0.0,525,7,2.539999999999992,1,5,-5,1,9,2024-11-16,False,Women's Flyweight,FEMALE,3,U-DEC,3,0,5,5,0,8,0,0,4,5,Orthodox,165.1,170.18,30,11,1,0,2,5,35,0,1,0,6,Orthodox,162.56,172.72,37,20
Mauricio Ruffy,James Llontop,-1000,650,True,1.1,0.0,-1650,3,5.0800000000000125,1,-2,2,-2,0,2024-11-16,False,Catch Weight,MALE,3,U-DEC,3,2,0,1,2,7,0,0,0,1,Orthodox,182.88,185.42,25,20,0,2,2,0,4,0,2,0,2,Orthodox,180.34,190.5,28,20
Jonathan Martinez,Marcus McGhee,-105,-115,False,0.0,1.8696,10,-4,2.5400000000000205,7,4,-3,1,-7,2024-11-16,False,Bantamweight,MALE,3,U-DEC,3,0,3,3,0,5,0,2,1,3,Orthodox,172.72,175.26,34,20,1,0,6,4,39,0,4,0,10,Southpaw,172.72,177.8,30,13
Jim Miller,Damon Jackson,195,-238,True,2.95,0.0,433,5,0.0,20,12,0,0,0,2024-11-16,False,Lightweight,MALE,3,SUB,1,1,0,4,5,30,0,1,2,6,Switch,180.34,180.34,36,20,1,0,7,17,99,0,6,12,26,Southpaw,172.72,180.34,41,20
David Onama,Roberto Romero,-1450,850,True,1.069,0.0,-2300,6,10.159999999999997,4,2,2,0,0,2024-11-16,False,Lightweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,24,20,0,2,2,2,14,0,2,1,4,Orthodox,180.34,187.96,30,20
Marcin Tybura,Jhonata Diniz,-105,-115,True,1.9524,0.0,10,6,-2.539999999999992,9,8,-3,1,-11,2024-11-16,False,Heavyweight,MALE,3,KO/TKO,2,0,3,3,0,6,0,2,0,3,Orthodox,193.04,200.66,33,20,1,0,5,8,49,0,4,1,12,Orthodox,190.5,198.12,39,9
